,矢板の全長,引張材位置,腹起し番号
94,7.2,1.4,3
95,8.9,4.1,3
96,12.2,4.9,2
97,12.6,5.6,10
98,12.1,4.0,6
99,11.2,2.5,8
100,4.5,0.5,4
101,4.0,2.7,10
102,3.1,1.4,2
103,10.3,5.8,4
104,9.4,4.2,7
105,12.7,2.5,6
106,11.8,3.5,8
107,10.9,2.1,1
108,18.1,7.5,3
109,17.2,3.6,5
110,16.3,3.6,8
111,9.9,0.9,7
112,9.0,2.7,9
113,10.7,6.5,9
114,9.9,4.8,1
115,6.8,1.0,10
116,14.0,3.5,2
117,13.1,6.8,4
118,12.2,5.2,7
119,11.3,3.8,9
120,10.4,1.2,1
121,9.5,0.9,4
122,11.2,7.7,3
123,10.3,5.5,5
124,9.4,4.4,8
125,8.5,1.9,10
126,8.1,2.2,6
127,7.2,4.3,8
128,6.3,2.8,10
129,5.4,1.7,3
130,12.6,5.8,5
131,9.5,3.7,4
132,8.6,2.1,6
133,15.8,6.3,8
134,14.9,4.4,1
135,8.6,2.5,10
136,7.7,1.4,2
137,10.9,1.7,2
138,18.1,7.1,4
139,11.4,2.6,10
140,10.9,3.1,6
141,5.9,2.8,1
142,9.1,1.4,10
143,16.3,7.7,2
144,15.4,5.4,5
145,14.5,3.5,7
146,13.6,2.4,9
147,7.3,0.9,9
148,6.4,1.8,1
149,8.1,6.0,10
150,11.4,3.3,10
151,10.5,2.1,2
152,9.6,1.2,4
153,11.3,3.5,4
154,15.9,7.0,9
155,12.7,1.4,8
156,14.1,4.0,4
157,13.7,1.9,9
158,14.9,1.7,5
159,14.0,8.1,8
160,7.7,4.8,7
161,6.9,3.3,9
162,6.0,2.3,2
163,15.0,2.1,7
164,4.5,3.3,10
165,3.6,1.9,2
166,8.2,1.7,7
167,15.4,5.3,10
168,12.4,0.5,8
169,11.5,2.7,1
170,13.2,6.0,10
171,12.3,4.2,2
172,11.4,2.4,5
173,16.3,8.4,3
174,14.6,4.8,8
175,8.2,2.5,7
176,12.8,1.1,3
177,11.9,0.6,5
178,18.2,6.7,9
179,11.9,4.1,9
180,4.6,1.2,10
181,9.6,4.0,9
182,10.9,6.3,5
183,10.0,4.7,7
184,9.5,4.5,3
185,12.4,1.5,9
186,14.1,3.9,8
187,11.0,2.0,7
188,18.2,5.7,10
189,17.3,3.7,2
190,16.4,3.0,4
191,10.1,1.1,3
192,14.7,4.3,9
193,8.3,1.7,8
194,10.0,4.8,7
195,3.3,1.3,3
196,12.3,1.7,9
197,11.4,2.2,1
198,18.7,7.9,4
199,17.8,6.2,6
200,16.9,2.9,8
201,10.6,1.1,8
202,9.7,0.7,10
203,11.4,7.6,9
204,16.0,6.9,5
205,9.6,4.2,4
206,7.8,0.8,9
207,6.9,2.3,1
208,14.1,7.8,3
209,5.6,1.9,9
210,6.9,3.6,5
211,6.1,1.1,7
212,15.1,5.1,3
213,14.2,3.3,5
214,13.3,1.9,8
215,8.3,2.0,3
216,7.4,1.3,5
217,6.9,3.1,1
218,11.5,2.5,6
219,13.3,4.8,6
220,12.4,3.4,8
221,11.5,2.5,10
222,5.1,3.9,10
223,4.2,2.5,2
224,8.8,2.0,7
225,8.3,1.8,3
226,9.6,2.9,9
227,8.7,2.3,1
228,8.2,6.0,7
229,18.3,4.7,5
230,9.7,1.5,1
231,11.0,1.5,7
232,10.2,4.0,9
233,9.7,3.6,5
234,11.0,6.3,1
235,10.1,5.1,3
236,13.4,2.9,2
237,7.0,1.1,2
238,14.2,7.9,4
239,13.3,5.8,6
240,11.5,3.2,1
241,5.1,1.4,10
242,12.4,0.3,3
243,15.6,5.6,2
244,14.8,3.8,4
245,13.9,2.6,7
246,15.6,4.6,6
247,14.7,3.7,8
248,13.8,7.0,1
249,7.4,4.0,10
250,17.8,4.0,2
251,16.9,2.8,4
252,15.3,4.8,9
253,14.4,3.5,1
254,13.8,3.4,7
255,12.9,2.6,9
256,12.0,2.8,1
257,11.1,1.4,4
258,18.3,6.4,6
259,17.4,5.1,8
260,16.5,1.8,10
261,6.1,1.1,3
262,9.3,2.1,2
263,16.6,7.4,4
264,15.7,5.8,7
265,9.3,3.3,6
266,8.4,2.5,8
267,19.7,4.7,8
268,9.2,7.1,10
269,8.3,5.2,2
270,7.4,3.8,5
271,15.7,5.9,3
272,14.8,4.3,5
273,8.4,1.7,5
274,15.6,4.1,7
275,8.9,2.2,3
276,10.6,4.0,2
277,7.5,3.7,1
278,6.6,2.3,3
279,17.9,5.8,2
280,17.0,4.7,5
281,16.1,1.4,7
282,9.8,0.3,6
283,8.9,1.7,9
284,16.1,6.6,1
285,15.2,5.2,3
286,10.2,4.0,9
287,13.5,1.1,8
288,8.8,6.3,7
289,7.9,4.5,9
290,7.0,3.3,1
291,6.1,2.5,4
292,5.2,0.3,6
293,4.3,1.7,8
294,11.5,6.3,1
295,3.0,1.0,6
296,7.6,1.2,2
297,9.3,7.6,1
298,8.4,5.8,3
299,7.5,3.4,6
300,10.7,1.3,5
301,17.9,3.8,7
302,11.6,1.9,7
303,10.7,5.3,9
304,4.4,2.5,8
305,3.5,1.4,1
306,10.7,3.3,3
307,13.9,1.3,2
308,13.0,0.8,5
309,12.1,3.2,7
310,11.2,1.9,9
311,13.0,5.2,9
312,17.5,2.7,4
313,16.6,3.7,6
314,10.3,4.0,5
315,10.3,4.7,9
316,9.4,1.3,2
317,8.5,1.2,4
318,11.7,2.0,3
319,18.9,6.8,6
320,12.6,4.0,5
321,6.2,1.9,4
322,5.3,1.3,7
323,12.5,9.3,9
324,15.7,6.0,8
325,14.8,3.5,1
326,8.5,1.5,10
327,7.6,0.8,2
328,14.8,2.8,5
329,8.5,5.6,4
330,13.1,5.3,9
331,6.7,2.8,9
332,5.8,1.1,1
333,10.4,1.3,6
334,12.1,8.0,6
335,11.2,6.1,8
336,16.1,6.7,7
337,15.2,2.6,9
338,9.0,0.9,8
339,10.2,1.4,4
340,13.6,5.6,4
341,6.3,1.6,5
342,11.2,2.6,4
343,10.3,2.0,6
344,11.7,2.2,2
345,11.2,5.7,8
346,10.3,4.0,10
347,9.4,2.9,3
348,12.7,1.3,2
349,11.8,1.6,4
350,9.4,6.8,7
351,11.7,2.4,8
352,10.8,1.5,1
353,9.9,1.0,3
354,17.1,8.4,5
355,16.2,6.4,7
356,15.4,4.8,10
357,14.5,3.5,2
358,8.1,1.8,1
359,7.2,1.6,4
360,9.0,5.9,3
361,8.1,3.9,5
362,11.3,2.5,5
363,10.4,0.9,7
364,11.3,5.9,9
365,4.0,1.8,10
366,8.6,1.6,6
367,15.8,4.8,8
368,9.4,3.2,7
369,12.7,4.0,7
370,11.8,2.1,9
371,10.9,1.0,1
372,11.8,1.6,3
373,10.9,4.7,5
374,10.0,3.0,8
375,9.1,1.7,10
376,8.5,1.6,6
377,9.9,3.3,2
378,9.0,2.2,4
379,8.6,5.7,10
380,19.4,8.1,6
381,18.5,6.4,8
382,10.0,0.6,4
383,5.0,1.9,9
384,12.2,7.4,1
385,15.4,4.4,1
386,8.1,1.2,2
387,15.3,3.6,5
388,9.0,6.2,4
389,8.2,4.6,6
390,7.3,3.2,9
391,18.6,6.2,8
392,17.7,5.3,10
393,11.3,3.2,10
394,12.7,0.5,5
395,11.3,5.5,4
396,10.4,4.2,6
397,9.5,2.3,8
398,8.6,4.9,10
399,11.8,1.9,10
400,14.0,6.2,7
401,13.2,4.8,10
402,12.7,9.2,6
403,10.9,4.3,10
404,10.0,2.8,2
405,9.1,1.6,5
406,12.3,0.6,4
407,9.9,7.9,6
408,12.3,3.5,8
409,5.9,0.9,7
410,10.5,1.5,3
411,9.6,1.6,5
412,14.6,2.7,4
413,16.0,4.1,10
414,9.6,2.0,9
415,8.7,1.1,1
416,7.8,0.5,4
417,7.2,2.6,9
418,8.6,4.8,5
419,7.7,3.3,8
420,16.9,3.4,3
421,18.1,4.1,9
422,11.9,6.7,9
423,11.0,5.0,1
424,10.1,3.6,3
425,15.0,2.2,2
426,8.6,0.9,1
427,13.2,4.3,7
428,12.3,2.7,9
429,11.4,1.5,1
430,18.6,4.6,3
431,10.1,1.0,9
432,17.3,8.5,2
433,16.4,6.6,4
434,10.0,4.0,3
435,9.1,2.8,6
436,8.2,0.5,8
437,7.3,1.7,10
438,11.9,1.6,5
439,11.4,1.9,1
440,12.8,3.1,7
441,11.4,6.0,5
442,9.6,2.9,10
443,10.5,4.6,1
444,9.6,7.0,4
445,12.8,3.6,3
446,11.9,2.1,5
447,11.0,1.1,8
448,18.2,3.4,10
449,17.3,2.0,2
450,16.4,5.9,5
451,15.6,4.2,7
452,5.1,2.8,9
453,14.2,2.9,5
454,9.2,2.6,10
455,11.5,1.5,2
456,18.7,4.3,4
457,7.3,1.3,9
458,10.5,3.4,8
459,9.6,1.9,1
460,16.1,4.5,5
461,12.9,1.2,4
462,7.9,2.8,9
463,12.8,4.4,8
464,7.8,2.5,3
465,11.0,0.7,2
466,16.1,5.2,1
467,17.3,7.8,7
468,8.8,1.4,3
469,16.0,4.3,5
470,11.0,3.3,10
471,10.1,7.6,3
472,9.2,5.6,5
473,12.4,3.2,4
474,10.6,0.5,9
475,10.2,2.8,5
476,5.1,2.4,10
477,4.3,1.3,2
478,9.2,1.9,1
479,8.3,3.7,3
480,7.4,2.3,6
481,14.6,7.0,8
482,13.8,5.3,10
483,10.6,1.6,9
484,12.0,2.5,5
485,11.5,5.3,1
486,10.6,3.5,3
487,9.7,2.2,5
488,8.8,1.2,8
489,10.6,9.0,7
490,15.1,7.9,2
491,8.8,4.9,2
492,7.9,3.4,4
493,12.8,4.0,3
494,11.9,6.7,5
495,11.0,5.0,7
496,10.1,2.6,10
497,14.7,3.4,5
498,8.4,0.7,4
499,15.6,9.1,7
500,14.8,6.8,9
501,14.2,5.9,5
502,13.3,4.3,7
503,6.0,4.0,9
504,5.1,2.5,1
505,4.3,1.4,3
506,11.5,6.1,6
507,14.8,1.7,5
508,9.8,2.4,10
509,8.9,4.7,2
510,12.1,1.8,2
511,19.3,5.0,4
512,12.9,3.3,3
513,12.0,2.1,6
514,11.1,4.1,8
515,12.9,8.4,7
516,12.0,6.5,10
517,15.2,4.0,9
518,10.2,2.1,4
519,9.3,1.4,7
520,3.0,2.0,6
521,14.3,5.7,5
522,13.4,3.9,8
523,12.5,3.4,10
524,6.1,1.0,9
525,17.5,2.3,9
526,16.6,6.0,1
527,10.2,3.2,10
528,5.2,2.7,6
529,16.5,5.9,5
530,15.6,4.5,7
531,9.3,5.7,7
532,8.4,3.7,9
533,11.1,4.4,3
534,4.7,2.3,2
535,3.9,1.3,5
536,14.8,1.6,10
537,14.4,6.4,6
538,7.5,1.5,2
539,14.8,6.6,4
540,11.7,1.9,3
541,13.4,1.7,3
542,12.5,7.3,5
543,6.1,4.0,4
544,10.7,3.4,9
545,9.8,2.3,2
546,11.6,4.2,1
547,10.7,3.5,3
548,9.8,6.5,6
549,13.1,3.7,5
550,12.2,1.8,7
551,11.3,1.0,10
552,13.0,2.5,9
553,17.6,7.5,4
554,17.1,6.1,10
555,9.4,1.3,8
556,11.2,2.9,8
557,13.5,3.8,9
558,15.3,7.8,9
559,11.7,1.4,4
560,13.5,4.8,3
561,12.6,1.6,6
562,6.2,0.4,5
563,10.8,3.1,10
564,12.6,6.8,10
565,11.7,5.4,2
566,14.0,0.6,4
567,3.5,2.5,6
568,14.8,6.4,5
569,13.9,4.7,8
570,19.0,5.2,6
571,18.1,3.3,9
572,17.2,6.8,1
573,10.8,3.9,10
574,9.9,1.9,3
575,9.0,1.0,5
576,10.7,2.5,4
577,9.8,6.3,7
578,13.1,3.2,6
579,12.2,2.0,8
580,19.5,7.0,1
581,18.6,2.9,3
582,12.2,1.2,2
583,11.3,4.1,5
584,4.9,1.5,4
585,16.7,3.5,1
586,10.3,1.5,1
587,9.4,0.9,3
588,3.1,2.0,2
589,10.3,7.0,5
590,8.5,4.4,9
591,7.6,1.1,2
592,6.8,4.2,4
593,10.0,1.4,3
594,17.2,6.1,6
595,4.5,1.7,4
596,3.6,1.1,7
597,14.0,4.5,8
598,9.0,4.2,4
599,12.2,2.0,3
600,13.1,8.1,5
601,17.7,6.8,10
602,5.0,1.5,9
603,16.3,2.9,8
604,15.4,2.0,10
605,14.5,5.7,3
606,8.1,2.8,2
607,7.2,1.7,4
608,8.9,4.9,4
609,8.1,4.1,6
610,7.2,0.8,8
611,6.3,3.6,1
612,5.5,2.3,3
613,11.8,2.9,7
614,10.9,1.9,10
615,10.3,6.9,6
616,9.4,5.0,8
617,8.5,3.6,10
618,11.0,1.2,2
619,12.2,0.7,8
620,17.3,6.0,7
621,10.9,3.2,6
622,12.3,5.5,2
623,9.1,1.4,10
624,10.8,2.7,10
625,9.9,6.4,2
626,9.0,3.9,4
627,8.1,2.6,7
628,7.2,1.7,9
629,6.4,1.1,1
630,17.7,7.4,1
631,16.8,5.7,3
632,10.5,3.1,2
633,9.6,1.2,5
634,16.8,3.3,7
635,8.6,3.7,1
636,7.7,2.6,3
637,8.6,1.8,5
638,6.8,4.0,10
639,10.1,1.9,9
640,17.3,6.4,1
641,16.4,3.0,4
642,3.7,2.6,2
643,2.8,1.3,5
644,14.1,4.4,4
645,13.2,3.2,6
646,6.8,1.4,6
647,5.9,1.0,8
648,17.3,6.7,7
649,12.2,5.1,3
650,5.9,2.7,2
651,5.0,1.8,4
652,4.2,1.1,7
653,14.6,5.9,8
654,13.7,3.3,1
655,7.3,1.3,10
656,6.4,0.7,2
657,8.1,1.4,2
658,10.6,2.6,3
659,9.7,1.6,6
660,10.9,3.8,1
661,16.0,1.7,10
662,9.6,5.1,10
663,8.7,3.3,2
664,9.5,5.0,4
665,8.6,4.0,6
666,11.9,2.1,5
667,11.0,2.9,8
668,10.1,1.4,10
669,11.9,4.5,9
670,15.6,3.6,7
671,9.2,1.9,6
672,13.8,3.3,1
673,15.5,6.5,1
674,14.6,4.5,3
675,13.7,3.0,5
676,13.2,8.0,1
677,12.3,6.1,3
678,16.9,5.4,9
679,16.0,4.0,1
680,15.1,2.8,3
681,14.6,5.7,9
682,13.7,4.1,1
683,12.9,2.9,4
684,14.6,5.9,3
685,6.9,0.9,1
686,18.3,8.1,1
687,17.4,6.0,3
688,6.9,4.3,5
689,16.0,4.0,1
690,15.1,3.3,3
691,14.2,4.4,6
692,9.2,4.4,1
693,12.5,1.4,10
694,19.7,3.8,3
695,13.3,3.5,2
696,6.9,1.8,1
697,8.3,6.8,7
698,17.3,5.5,3
699,16.4,3.9,5
700,9.7,1.2,1
701,11.4,3.8,10
702,10.5,2.7,3
703,9.6,4.6,5
704,3.4,2.0,4
705,10.6,7.1,7
706,13.8,2.6,6
707,12.9,1.4,8
708,12.0,0.5,1
709,13.7,8.3,10
710,12.8,6.1,2
711,6.4,4.3,2
712,11.0,2.9,7
713,10.6,7.1,3
714,3.8,1.9,9
715,11.0,7.6,1
716,14.3,4.9,10
717,7.9,2.5,10
718,7.0,1.6,2
719,14.2,0.9,4
720,12.4,5.0,9
721,11.9,4.4,5
722,5.2,1.4,1
723,4.3,0.7,3
724,13.4,2.8,9
725,14.7,5.2,5
726,13.8,3.6,7
727,7.5,1.6,6
728,14.7,5.4,9
729,11.6,3.5,7
730,10.7,1.9,10
731,5.7,1.7,5
732,5.1,1.4,1
733,16.1,2.4,7
734,15.2,1.3,9
735,8.8,2.7,8
736,13.8,4.4,7
737,15.1,5.7,3
738,6.6,0.5,9
739,11.2,2.2,4
740,12.9,6.9,3
741,12.0,4.1,6
742,11.1,2.5,8
743,10.2,1.4,10
744,9.3,0.7,2
745,8.4,1.5,5
746,8.0,2.0,1
747,7.1,1.1,3
748,14.3,4.2,5
749,13.4,3.0,7
750,12.5,5.6,10
751,6.1,3.0,9
752,10.7,2.9,4
753,15.6,1.4,3
754,9.3,3.8,3
755,9.7,4.4,1
756,14.8,4.7,9
757,13.9,3.3,2
758,13.0,2.2,4
759,12.1,4.4,6
760,5.7,1.8,6
761,10.7,1.8,4
762,9.8,0.7,7
763,4.8,3.8,2
764,3.9,2.2,4
765,11.1,6.2,7
766,12.1,1.9,2
767,13.4,2.3,8
768,12.1,4.7,6
769,13.4,7.2,2
770,12.5,5.4,5
771,12.0,4.8,10
772,15.7,6.6,8
773,9.3,3.6,7
774,19.8,4.0,9
775,13.4,3.0,8
776,12.6,5.5,1
777,11.7,3.7,3
778,5.3,1.4,2
779,12.5,5.5,5
780,5.8,2.2,10
781,14.8,2.4,6
782,13.9,3.4,9
783,9.7,3.2,5
784,12.2,4.2,7
785,7.1,3.7,2
786,6.6,3.6,8
787,16.7,3.7,6
788,3.9,2.1,5
789,15.2,6.5,5
790,14.3,5.0,7
791,8.0,1.5,6
792,7.2,0.7,8
793,14.4,1.3,1
794,7.1,4.1,2
795,18.1,6.0,8
796,9.4,1.0,4
797,16.6,3.5,6
798,15.7,7.1,9
799,9.4,4.1,8
800,8.5,2.7,10
801,9.8,4.8,6
802,9.3,5.0,2
803,8.5,0.8,4
804,19.4,0.5,10
805,6.7,3.1,9
806,5.8,1.8,1
807,4.9,0.9,4
808,15.3,5.9,5
809,9.0,2.9,5
810,8.1,1.6,7
811,15.3,5.9,9
812,8.9,3.8,9
813,8.0,2.8,1
814,7.1,3.7,3
815,13.5,5.5,8
816,12.6,3.8,10
817,12.1,2.5,6
818,11.2,7.6,8
819,10.3,5.6,1
820,9.4,4.0,3
821,8.5,2.8,5
822,7.6,1.9,7
823,6.7,2.4,10
824,11.8,3.2,9
825,12.6,3.2,10
826,11.7,1.7,3
827,14.9,5.1,2
828,9.9,4.5,7
829,9.0,3.0,9
830,8.1,1.9,2
831,7.2,1.3,4
832,12.2,4.4,3
833,11.3,3.0,5
834,10.5,2.0,7
835,17.7,4.5,10
836,16.8,3.7,2
837,15.3,5.5,10
838,14.4,3.8,2
839,12.7,1.7,7
840,6.3,1.9,6
841,10.9,2.0,2
842,18.1,4.5,4
843,5.4,0.6,3
844,16.7,9.1,2
845,10.0,4.0,8
846,9.5,3.7,4
847,10.8,6.2,10
848,12.3,0.5,4
849,14.0,8.0,3
850,6.7,3.5,5
851,5.8,2.3,7
852,17.2,5.1,6
853,16.3,7.9,9
854,15.4,5.5,1
855,9.1,2.7,10
856,13.7,2.5,5
857,14.5,3.5,7
858,8.1,5.5,7
859,7.2,3.7,9
860,6.3,2.1,1
861,17.6,5.3,1
862,16.7,4.0,3
863,15.9,2.0,5
864,9.6,3.6,4
865,14.2,3.5,10
866,15.9,7.1,9
867,15.0,3.1,1
868,7.7,4.3,3
869,6.8,2.8,5
870,5.9,1.7,8
871,10.9,2.4,6
872,10.1,1.6,9
873,11.8,8.5,8
874,10.9,6.6,10
875,10.0,4.4,3
876,9.1,3.3,5
877,12.3,0.7,4
878,19.5,9.6,7
879,13.1,5.9,6
880,12.3,4.0,8
881,5.9,1.8,8
882,10.5,1.7,3
883,15.5,5.9,2
884,14.6,4.2,4
885,8.2,1.8,3
886,15.4,6.2,6
887,8.7,2.2,2
888,9.5,3.1,3
889,11.9,3.6,5
890,10.1,0.9,9
891,11.8,2.2,9
892,4.6,3.0,1
893,9.6,4.2,9
894,8.7,3.0,2
895,7.8,2.2,4
896,19.1,8.4,3
897,14.1,7.4,9
898,13.2,5.7,1
899,12.3,4.6,3
900,11.4,1.2,5
901,4.1,1.7,7
902,15.5,5.2,6
903,14.6,3.9,9
904,13.8,2.9,1
905,12.9,2.3,3
906,14.6,8.9,3
907,11.4,2.4,2
908,10.5,1.2,4
909,17.7,3.7,6
910,4.6,1.0,1
911,9.7,3.8,10
912,3.3,1.3,9
913,9.6,2.1,4
914,12.8,4.9,3
915,7.8,4.5,9
916,6.9,3.3,1
917,6.0,1.3,3
918,5.5,0.8,9
919,3.7,1.3,4
920,11.0,5.9,6
921,6.9,0.9,7
922,14.1,8.0,9
923,13.2,5.4,2
924,11.5,2.9,6
925,10.6,2.2,9
926,15.5,5.4,7
927,8.8,1.4,3
928,8.3,1.6,9
929,7.4,0.8,1
930,14.6,2.7,4
931,8.7,5.4,1
932,5.6,1.0,10
933,12.8,3.0,2
934,11.0,6.1,7
935,15.1,2.4,8
936,8.8,0.7,7
937,13.4,5.6,2
938,12.5,4.0,5
939,11.6,2.9,7
940,11.0,2.6,3
941,10.1,2.0,5
942,5.1,3.5,10
943,4.2,2.2,3
944,15.5,5.2,2
945,14.6,4.1,4
946,7.5,3.0,6
947,6.6,1.6,8
948,7.4,3.4,10
949,9.7,1.0,2
950,16.9,8.5,4
951,10.6,5.5,3
952,15.1,3.9,9
953,8.8,1.9,8
954,7.9,1.2,10
955,7.0,1.7,3
956,14.3,7.7,5
957,7.0,2.4,7
958,10.2,0.8,6
959,17.4,2.5,8
960,11.1,5.8,8
961,10.2,4.2,10
962,3.8,1.8,9
963,11.0,6.0,2
964,14.3,3.8,1
965,15.6,2.8,7
966,7.0,2.4,3
967,6.1,1.2,5
968,17.9,5.6,2
969,17.0,1.3,5
970,11.5,6.0,6
971,14.7,3.4,5
972,13.8,2.5,8
973,12.9,1.9,10
974,11.2,1.3,4
975,18.4,5.3,7
976,9.8,0.6,3
977,17.0,8.5,5
978,12.0,7.9,10
979,11.1,4.8,2
980,9.7,1.3,1
981,8.9,6.2,3
982,13.4,5.7,8
983,12.6,4.5,10
984,6.2,2.1,10
985,5.3,0.6,2
986,16.6,0.9,1
987,15.7,5.2,4
988,14.8,3.7,6
989,8.4,1.5,5
990,12.6,3.7,6
991,13.9,6.2,2
992,7.5,3.2,2
993,5.8,1.2,6
994,13.0,1.8,9
995,16.2,3.1,8
996,5.7,4.0,10
997,4.8,2.5,3
998,13.9,1.9,8
999,15.2,4.1,4
1000,14.4,2.3,6
1001,13.9,6.8,2
1002,13.0,5.2,5
1003,14.3,7.1,10
1004,11.2,1.6,9
1005,10.3,1.0,2
1006,9.4,1.6,4
1007,11.2,5.9,3
1008,15.7,4.3,8
1009,9.4,2.0,8
1010,8.5,1.2,10
1011,7.6,2.3,2
1012,9.3,6.8,2
1013,7.5,3.5,6
1014,16.7,3.3,2
1015,18.0,4.8,8
1016,17.1,8.1,10
1017,10.8,4.7,10
1018,9.9,2.7,2
1019,9.0,1.5,4
1020,8.4,1.8,10
1021,9.8,1.4,6
1022,8.9,5.6,8
1023,12.1,2.7,8
1024,11.2,1.6,10
1025,18.4,5.0,2
1026,9.9,2.5,8
1027,11.3,5.4,4
1028,4.9,2.6,3
1029,4.0,1.4,6
1030,15.3,3.5,5
1031,14.4,2.5,7
1032,13.5,0.8,10
1033,12.6,3.1,2
1034,11.7,1.7,4
1035,13.5,4.9,4
1036,10.4,0.6,2
1037,17.6,1.5,5
1038,11.2,5.7,4
1039,10.3,4.1,6
1040,14.9,4.1,2
1041,8.5,2.0,1
1042,13.1,0.4,6
1043,12.6,3.6,2
1044,14.0,5.8,8
1045,13.1,3.9,10
1046,12.6,3.6,6
1047,11.7,2.9,8
1048,10.8,4.5,1
1049,9.9,2.9,3
1050,9.0,2.0,5
1051,16.2,6.0,7
1052,14.5,7.1,2
1053,8.1,3.6,1
1054,7.2,2.2,4
1055,5.8,0.9,2
1056,4.9,2.1,4
1057,6.2,4.7,10
1058,15.4,4.8,6
1059,16.7,6.5,2
1060,15.8,4.8,4
1061,9.5,2.9,3
1062,12.7,0.8,3
1063,9.4,5.6,7
1064,8.5,3.6,10
1065,7.6,2.2,2
1066,15.9,5.1,10
1067,17.1,7.3,6
1068,14.1,2.4,5
1069,14.9,4.3,6
1070,14.0,6.4,9
1071,13.1,4.8,1
1072,12.2,3.5,3
1073,11.3,1.1,6
1074,10.4,0.5,8
1075,12.2,7.2,7
1076,11.3,5.1,10
1077,10.4,3.4,2
1078,15.4,3.7,1
1079,14.5,2.5,3
1080,8.1,3.8,2
1081,14.4,7.2,7
1082,13.5,5.7,9
1083,12.7,4.4,2
1084,6.3,0.4,1
1085,5.4,2.8,3
1086,16.8,6.3,3
1087,15.9,4.3,5
1088,15.0,2.9,7
1089,14.1,1.8,9
1090,13.2,3.8,2
1091,12.7,3.7,8
1092,7.7,3.7,3
1093,6.8,2.6,5
1094,5.9,1.8,7
1095,5.0,1.7,10
1096,4.5,2.1,6
1097,15.4,3.4,1
1098,14.5,2.1,4
1099,8.2,0.8,3
1100,15.4,9.0,5
1101,8.2,4.0,7
1102,7.3,2.7,9
1103,6.4,1.7,2
1104,17.7,4.0,1
1105,4.9,2.5,10
1106,4.0,1.1,2
1107,15.5,3.0,2
1108,14.6,2.0,4
1109,15.8,2.4,10
1110,7.3,1.9,5
1111,14.5,6.9,8
1112,7.8,2.9,4
1113,7.2,3.4,9
1114,6.3,1.9,2
1115,5.4,2.7,4
1116,16.8,6.8,3
1117,15.9,5.6,6
1118,15.1,2.6,8
1119,13.3,0.6,3
1120,14.1,5.8,4
1121,13.2,4.0,7
1122,18.2,4.3,5
1123,11.4,1.7,1
1124,15.5,4.4,2
1125,8.3,1.2,4
1126,15.5,1.1,6
1127,9.1,5.6,6
1128,8.2,3.7,8
1129,11.5,1.4,7
1130,13.6,3.5,5
1131,16.9,2.0,4
1132,6.4,4.8,6
1133,5.5,3.2,9
1134,16.8,6.6,8
1135,15.9,5.1,10
1136,9.6,3.3,10
1137,12.0,1.5,2
1138,6.9,1.4,7
1139,14.1,4.2,9
1140,7.8,2.4,8
1141,6.9,1.3,1
1142,6.0,3.5,3
1143,17.3,7.3,2
1144,14.1,2.5,1
1145,15.5,4.0,7
1146,9.1,2.2,6
1147,8.2,3.0,9
1148,7.3,1.7,1
1149,14.6,7.2,3
