No,íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,ñÓî¬ÇÃëSí∑,ç™ì¸ÇÍê[Ç≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,à¯í£çﬁà íu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,ï†ãNÇµî‘çÜ,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,íÁäOë§êÖà _ínêkéû,íÁì‡ë§êÖà _ínêkéû, êkìx
20352,12,13.6,5.2,12.7,7.5,5.1,0,0.7,0.8,3.8,18, _Clay,19,20,152,149700,19, _Sandy,9,10,272,3, _SY390,25,0,1,6,3.5,0.2,0.8,0.6,0.3
20363,30,13.8,7.7,8.5,0.8,7.6,0.8,0,0.8,4.8,12, _Sandy,12,7,93,107200,14, _Sandy,13,15,94,4, _SY295,77,1,0,9,6,0,5.8,0,0.2
20377,29,8.5,7.8,12.2,4.4,7.7,0.7,0,0.8,1.6,14, _Sandy,25,23,5,24400,14, _Sandy,31,44,36,3, _SY295,57,0,0,6,5.6,0,3.3,0,0.3
20379,11,3,5.4,10.4,5,5.3,0,1.4,0.8,4.2,20, _Clay,44,6,276,183000,19, _Sandy,45,24,155,5, _SY295,49,0,0,1,3.4,0.9,2.7,1.3,0.2
20387,26,2.2,9.1,18.1,9,9,0,0.6,1.6,3.2,19, _Clay,22,28,267,141300,15, _Clay,9,38,215,4, _SY390,58,0,1,4,2.9,0.4,3.6,0.5,0.2
20399,30,11.5,5,11.4,6.4,4.9,0,0.2,1.6,1,13, _Sandy,41,15,5,138500,17, _Sandy,9,17,95,5, _SY295,25,0,1,10,0.9,0.1,2.4,0.1,0.5
20412,22,10.2,3.6,9.5,5.9,3.5,0,0.4,1.6,2.4,15, _Sandy,28,31,120,16000,19, _Sandy,31,26,278,4, _SY295,90,0,0,4,1.5,0.3,2.6,0.1,0.2
20418,21,10.8,3,6.8,3.8,2.9,0,0.9,0.8,2,16, _Sandy,12,25,236,54300,17, _Sandy,27,35,277,5, _SY295,87,0,0,5,0.9,0.6,1.2,0.4,0.3
20422,15,9.1,8.8,11.8,3,8.7,4.1,0,1.6,7.3,15, _Sandy,11,5,23,33300,13, _Clay,24,38,99,5, _SY295,61,1,0,8,7.9,0,7.9,0,0.3
20428,14,9.7,8.2,9,0.8,8.1,0,2.2,0.8,5.9,16, _Sandy,45,44,139,71600,11, _Sandy,20,2,98,3, _SY295,58,1,0,9,5.3,0.7,3.9,0.7,0.4
20462,10,12.7,9.5,17.8,8.3,9.4,0,2.3,0.8,2.8,12, _Sandy,8,20,292,3400,17, _Sandy,31,22,41,4, _SY295,41,0,1,6,8.2,2.2,3.5,0.7,0.1
20465,28,5.7,3.2,8.7,5.5,3.1,0,1.2,1.6,1.8,16, _Clay,23,31,137,82000,20, _Clay,13,7,221,3, _SY295,46,1,0,2,2.6,0.6,2.5,1,0.3
20478,28,13.5,3.3,12.4,9.1,3.2,0,1.4,1.6,2.7,17, _Clay,36,2,50,198200,20, _Clay,31,36,162,3, _SY295,25,0,0,10,2.6,0.9,2,0.5,0.5
20481,20,5.3,7.8,17.8,10,7.7,0,0.5,0.8,2.6,17, _Sandy,40,44,156,137700,13, _Clay,1,28,41,5, _SY390,80,1,1,7,6.8,0,2.5,0.4,0.5
20485,17,11.4,9.7,16.9,7.2,9.6,0,2.1,1.6,6.3,12, _Sandy,3,10,2,17300,16, _Sandy,34,12,221,5, _SY390,84,1,1,3,7.8,1.2,8.1,0.9,0.3
20500,10,4.4,7.4,17.4,10,7.3,0,3.5,0.8,4.4,13, _Clay,16,5,0,112500,11, _Clay,49,44,284,4, _SY390,37,0,1,3,5.3,2.1,3.8,1.8,0.5
20530,11,2.3,3.2,6.6,3.4,3.1,1.3,0,0.8,1.8,11, _Sandy,39,16,0,84800,16, _Clay,16,3,224,3, _SY390,90,1,1,3,1.6,0,2.6,0,0.2
20561,20,1.9,3.8,7.5,3.7,3.7,0,0.2,1.6,2.2,19, _Clay,4,13,172,157000,11, _Clay,38,26,227,4, _SY390,72,1,0,1,0.8,0,0.6,0,0.4
20562,24,3.1,9.2,18.9,9.7,9.1,0,0.9,0.8,4.4,13, _Clay,14,27,211,97100,11, _Sandy,49,19,228,5, _SY295,88,1,0,1,7.7,0.4,6.5,0.2,0.1
20563,15,13.5,8,18,10,7.9,0,1.1,1.6,2.8,17, _Sandy,49,41,46,77000,19, _Clay,5,31,288,5, _SY390,84,0,1,3,2.7,0.7,5.6,0.1,0.3
20564,19,1.6,5.3,11.6,6.3,5.2,0,0.9,0.8,1.4,11, _Sandy,9,10,85,17100,19, _Sandy,17,24,289,3, _SY295,34,0,1,2,4.8,0.7,1.8,0,0.5
20565,10,12,4.1,10.7,6.6,4,0,0.8,1.6,3.5,14, _Clay,44,24,220,195900,17, _Sandy,24,36,49,4, _SY390,30,0,0,5,1.7,0.7,1.4,0.7,0.2
20566,25,4,7.1,12.1,5,7,0.1,0,1.6,5.8,12, _Sandy,43,24,115,76400,11, _Sandy,16,30,166,4, _SY390,57,1,1,1,5.7,0,0.4,0,0.1
20567,29,5.3,4.4,5.7,1.3,4.3,0,0,0.8,2.8,17, _Sandy,2,38,153,16500,11, _Clay,27,23,167,5, _SY295,73,0,1,10,2,0,2.6,0,0.3
20568,16,7.8,7.1,10.6,3.5,7,0,2.3,0.8,4,15, _Clay,23,21,230,95700,12, _Sandy,49,9,169,5, _SY390,38,0,1,9,5.9,1,5.8,1.4,0.2
20569,10,12.9,2,3.9,1.9,1.9,0.4,0,1.6,0.9,13, _Clay,22,21,124,175200,17, _Sandy,41,3,286,3, _SY295,65,0,1,5,0.8,0,1.3,0,0.2
20570,11,6.3,3.3,13.1,9.8,3.2,0,1.3,1.6,1.5,13, _Sandy,18,4,104,15700,20, _Sandy,17,14,229,3, _SY390,50,0,0,10,2.9,0.9,1.8,0.5,0.1
20571,26,11.4,6.2,14.3,8.1,6.1,2.1,0,1.6,5.7,11, _Sandy,17,4,298,95100,14, _Sandy,8,8,47,4, _SY390,77,1,0,6,3.4,0,2.5,0,0.1
20572,30,12.6,3.6,8,4.4,3.5,1.2,0,0.8,2.9,15, _Clay,27,18,37,35200,15, _Clay,20,45,48,5, _SY295,27,0,1,6,3.5,0,2.8,0,0.3
20573,21,9.9,2.4,7.1,4.7,2.3,1,0,1.6,1.7,18, _Sandy,12,32,172,15100,12, _Clay,27,13,107,5, _SY390,89,1,0,8,1.5,0,1.9,0,0.5
20574,25,11.2,7.8,8.9,1.1,7.7,0,0.2,0.8,3.6,13, _Sandy,22,1,211,154200,13, _Sandy,38,5,108,3, _SY295,39,1,0,7,0.6,0,1.8,0.1,0.2
20575,15,8.4,6.6,8,1.4,6.5,0.3,0,1.6,2,16, _Clay,6,15,46,134000,20, _Clay,45,18,168,3, _SY390,35,0,1,10,3.2,0,1.5,0,0.3
20576,19,9.7,3.9,11.2,7.3,3.8,0,0.4,0.8,0.9,20, _Clay,17,29,85,74200,11, _Clay,5,10,169,4, _SY295,51,1,1,9,0.8,0.1,3,0.3,0.1
20577,10,6.9,2.7,10.3,7.6,2.6,0.4,0,0.8,2.2,14, _Sandy,1,43,220,54000,18, _Sandy,12,23,228,4, _SY390,47,0,0,1,1.6,0,2.1,0,0.2
20602,25,8.2,5.6,14.4,8.8,5.5,0.7,0,0.8,1.3,12, _Sandy,16,15,6,147200,17, _Clay,38,43,110,3, _SY390,56,0,1,7,4.4,0,3.1,0,0.4
20612,14,5.9,5.4,14.9,9.5,5.3,2.1,0,0.8,3.1,18, _Sandy,40,20,171,25400,11, _Sandy,20,17,230,3, _SY295,77,1,0,1,4,0,2.2,0,0.3
20632,30,6.5,8.9,12.1,3.2,8.8,2.7,0,0.8,6.1,16, _Clay,21,43,141,80300,12, _Clay,49,28,113,4, _SY295,89,1,0,6,3.4,0,4.6,0,0.4
20638,29,7.1,8.3,9.4,1.1,8.2,2.9,0,1.6,5.4,17, _Clay,4,37,257,118600,20, _Sandy,45,38,112,5, _SY390,86,1,0,7,7.3,0,7.1,0,0.5
20646,27,7.5,9.3,10.8,1.5,9.2,0,0,1.6,7.9,20, _Sandy,44,28,286,17000,16, _Sandy,19,44,172,4, _SY390,45,1,0,9,2.1,0,3.4,0,0.2
20650,24,13.7,3,11.3,8.3,2.9,0.9,0,1.6,1.3,14, _Clay,7,39,131,95700,19, _Clay,1,29,52,4, _SY390,49,1,1,5,1.1,0,2.7,0,0.4
20664,28,9.6,8.6,16.8,8.2,8.5,2.6,0,1.6,5.5,19, _Clay,30,23,81,152000,19, _Clay,31,6,294,3, _SY295,44,1,1,2,6.8,0,3.1,0,0.4
20670,24,2.4,3.8,11.8,8,3.7,0.8,0,0.8,1.6,16, _Clay,50,31,139,90700,11, _Sandy,42,33,236,4, _SY295,77,1,0,10,1.6,0,2.9,0,0.2
20688,27,12.4,7.3,10.4,3.1,7.2,1.2,0,1.6,1.5,20, _Clay,0,12,294,126200,11, _Clay,38,21,116,4, _SY390,41,0,0,6,6.5,0,2.9,0,0.1
20689,10,13.6,4.6,13.6,9,4.5,0.7,0,0.8,3.8,15, _Clay,10,26,32,66300,11, _Sandy,49,14,117,4, _SY390,57,0,0,6,2.7,0,4,0,0.3
20692,11,1.4,2.5,6.9,4.4,2.4,0,1,0.8,1.4,14, _Sandy,40,23,236,45600,11, _Sandy,15,25,54,4, _SY295,26,0,1,6,1.7,0.6,1.3,0.1,0.3
20694,27,13,6.7,7.7,1,6.6,1.4,0,0.8,6.1,11, _Clay,34,6,110,164500,19, _Clay,34,30,114,5, _SY295,38,0,0,7,4.4,0,5.4,0,0.2
20710,11,3.5,9.9,11.4,1.5,9.8,4,0,1.6,9.1,13, _Clay,26,19,32,180500,14, _Clay,27,32,176,3, _SY390,25,1,0,9,9.8,0,9.5,0,0.5
20716,16,12.1,6.3,7.2,0.9,6.2,1.4,0,0.8,5.4,16, _Sandy,10,13,254,139400,18, _Sandy,31,2,58,3, _SY295,62,1,0,4,2.2,0,4.2,0,0.2
20723,12,4.9,9.7,10.4,0.7,9.6,1.6,0,0.8,6.5,13, _Sandy,30,20,11,78100,19, _Clay,42,29,299,4, _SY295,28,1,1,1,7.8,0,3.1,0,0.5
20730,16,6.9,6.5,11,4.5,6.4,1.3,0,0.8,3.2,18, _Sandy,23,28,166,56500,17, _Sandy,49,31,299,3, _SY390,41,1,1,1,1.9,0,2.4,0,0.4
20781,21,8.1,6.9,7.8,0.9,6.8,0,0.4,1.6,6,20, _Clay,44,4,0,103800,15, _Clay,38,34,61,5, _SY295,42,1,0,4,6.5,0.2,1.3,0,0.5
20817,24,6.8,3,8.4,5.4,2.9,1.3,0,0.8,2.4,17, _Clay,37,22,163,134300,16, _Sandy,23,26,125,5, _SY390,34,0,1,5,2.5,0,2.2,0,0.2
20831,21,7.9,3.5,7.1,3.6,3.4,0,0.8,1.6,1.1,11, _Sandy,8,7,8,71100,11, _Sandy,45,42,184,3, _SY390,56,0,0,8,3,0.6,2.4,0.1,0.5
20836,13,12.5,9.5,16.6,7.1,9.4,0,4.5,0.8,4.7,12, _Sandy,17,1,27,69700,12, _Clay,45,31,125,3, _SY295,72,1,1,6,8.3,3.3,7.7,2.1,0.1
20839,19,8.3,4.4,8.4,4,4.3,0,0.4,0.8,2.2,13, _Sandy,47,43,37,168500,17, _Clay,19,4,245,5, _SY390,81,0,0,10,1.3,0,1.1,0,0.2
20849,22,10,2.7,3.4,0.7,2.6,0,1.2,1.6,2.1,20, _Clay,46,2,104,7000,14, _Sandy,5,3,6,5, _SY295,55,0,1,1,1.6,0.9,1.6,0.1,0.1
20851,14,1.7,7.2,8.8,1.6,7.1,0,0.7,0.8,1.7,20, _Sandy,50,44,211,145500,16, _Sandy,26,40,185,4, _SY295,44,0,1,8,4,0,2.4,0.4,0.2
20855,11,7.9,9.1,17.6,8.5,9,0,2.3,1.6,5.1,15, _Sandy,13,10,56,25100,19, _Clay,8,25,65,4, _SY295,49,0,1,4,5,1.5,7.5,0.4,0.4
20863,15,3.2,7.1,8,0.9,7,0,0.9,1.6,6,19, _Clay,2,1,190,43100,11, _Clay,42,37,8,3, _SY295,46,0,0,10,2.7,0.1,4.1,0.3,0.2
20878,13,4.3,7.5,16.2,8.7,7.4,0,1.6,0.8,2.6,13, _Sandy,25,31,35,178800,16, _Sandy,12,8,68,3, _SY390,68,0,1,3,4,0.6,4.9,1,0.1
20886,28,3.4,3,6.2,3.2,2.9,0,0,1.6,2,12, _Clay,3,7,25,137100,12, _Sandy,26,22,127,5, _SY295,77,0,1,6,0.5,0,1.7,0,0.5
20897,29,4.9,2.9,5.4,2.5,2.8,0,0.1,0.8,1.3,11, _Clay,6,9,5,34700,17, _Clay,42,20,250,4, _SY295,80,0,0,8,2.7,0,2.4,0,0.1
20910,19,9.9,9.9,16.2,6.3,9.8,0,1.5,1.6,7.6,15, _Sandy,3,39,53,130700,14, _Clay,16,16,251,4, _SY390,55,1,0,8,4,1.3,5.4,1.2,0.5
20913,12,1.7,6.3,13.6,7.3,6.2,0,1.6,1.6,2.6,15, _Sandy,7,35,159,70200,17, _Sandy,37,8,130,3, _SY295,44,1,0,5,4,0.4,3.5,0.6,0.5
20923,29,8.5,7.6,9.9,2.3,7.5,3.5,0,0.8,5.1,11, _Clay,5,40,121,187200,18, _Clay,15,1,9,3, _SY390,46,1,0,2,3.9,0,5.1,0,0.4
20924,12,9.7,4.9,13.2,8.3,4.8,0,0.9,1.6,1.8,15, _Clay,15,9,159,127300,18, _Clay,26,39,10,4, _SY295,62,1,0,1,3.9,0.7,4.7,0,0.1
20927,18,5.5,7.9,13.1,5.2,7.8,0,2.4,1.6,6,16, _Clay,45,6,169,27100,13, _Clay,1,11,130,3, _SY295,70,0,0,5,3.6,0.7,5,1.8,0.2
20935,26,8.7,2,7.3,5.3,1.9,0,0.2,0.8,0.7,15, _Clay,49,28,62,144700,12, _Clay,19,6,131,4, _SY390,32,1,1,5,0.6,0.1,0.3,0.1,0.2
20947,30,4.9,6,8.6,2.6,5.9,0,0.6,0.8,1.4,19, _Clay,16,15,100,141900,14, _Sandy,19,30,12,3, _SY295,66,1,1,1,1.2,0.2,1.6,0.3,0.5
20968,23,11.8,9.8,10.4,0.6,9.7,2.3,0,1.6,3.8,19, _Sandy,7,8,3,17300,20, _Clay,1,28,13,4, _SY295,54,1,1,1,8.4,0,8.7,0,0.2
20970,26,6.4,7.4,8.6,1.2,7.3,3.2,0,1.6,6.4,16, _Sandy,27,36,274,176000,15, _Clay,15,8,132,3, _SY295,46,1,0,6,5.8,0,6.6,0,0.5
20972,20,4.9,3.5,11,7.5,3.4,0.2,0,1.6,1.7,13, _Clay,22,19,148,95900,13, _Sandy,33,13,192,4, _SY390,58,1,1,7,2.5,0,1.4,0,0.4
20975,27,13.7,6.5,10.9,4.4,6.4,1.8,0,1.6,5.9,14, _Clay,1,16,158,194700,18, _Sandy,8,30,13,3, _SY295,67,0,0,1,2.5,0,6,0,0.5
20985,16,4.8,7.6,11,3.4,7.5,0,1.8,0.8,6.4,20, _Clay,20,3,2,112500,15, _Clay,16,15,76,3, _SY295,73,1,1,1,4.9,1.1,2.7,0.4,0.4
20998,23,8.6,9.2,10.5,1.3,9.1,0.1,0,0.8,3,20, _Sandy,7,19,11,69400,12, _Clay,30,19,76,3, _SY390,33,0,0,2,2.2,0,2.2,0,0.5
21005,30,11.8,3.2,4.6,1.4,3.1,0,0.3,1.6,2.6,20, _Sandy,10,41,204,187000,11, _Sandy,49,13,77,5, _SY295,61,0,0,1,1,0.2,2.7,0.2,0.1
21008,23,3.6,7.8,10.1,2.3,7.7,3,0,1.6,4.6,20, _Clay,15,37,11,126500,14, _Clay,19,5,256,4, _SY390,50,0,0,8,5.2,0,6.7,0,0.1
21012,24,11,6.9,12.4,5.5,6.8,1.4,0,0.8,3.9,18, _Sandy,39,17,195,145200,17, _Sandy,12,27,137,4, _SY390,70,0,0,4,1.4,0,6,0,0.1
21020,23,11.4,7.9,13.7,5.8,7.8,2.9,0,1.6,6.9,11, _Clay,28,8,223,43600,14, _Clay,37,34,197,3, _SY390,29,0,1,6,4.9,0,5,0,0.3
21022,25,5.9,5.5,12,6.5,5.4,0.5,0,1.6,2.8,18, _Clay,47,36,194,3300,19, _Sandy,1,14,16,5, _SY390,88,0,1,10,1.6,0,2.4,0,0.2
21025,10,1.7,8.5,11.9,3.4,8.4,2.6,0,0.8,7.9,19, _Sandy,26,33,204,102100,14, _Sandy,26,31,136,4, _SY295,30,1,0,4,6.7,0,8,0,0.2
21027,12,9.3,6.1,10.1,4,6,0.1,0,1.6,3.4,15, _Sandy,46,16,175,61800,19, _Clay,40,10,256,5, _SY295,89,1,0,9,3.2,0,5.4,0,0.1
21039,12,4,6.2,13.8,7.6,6.1,0,0,1.6,0.7,17, _Sandy,8,31,87,177900,19, _Clay,8,40,197,4, _SY295,68,0,0,7,2.8,0,3.3,0,0.3
21042,10,3.8,7.8,8.3,0.5,7.7,0.8,0,0.8,4.7,19, _Sandy,13,28,0,38000,17, _Sandy,37,37,259,3, _SY295,30,1,1,8,2,0,5.3,0,0.4
21044,26,2.3,3.9,10.6,6.7,3.8,0.8,0,0.8,1.5,16, _Clay,8,11,174,157000,15, _Clay,5,42,19,4, _SY295,42,1,0,9,1.5,0,1.3,0,0.3
21053,11,11.8,6.4,7.9,1.5,6.3,3.1,0,1.6,4.9,18, _Sandy,21,2,0,95100,19, _Clay,26,24,138,4, _SY295,47,0,1,4,4.4,0,3.7,0,0.5
21065,11,6.7,5,7.5,2.5,4.9,1.7,0,1.6,3.6,17, _Clay,29,21,0,152200,20, _Clay,15,10,18,5, _SY295,64,0,1,1,3.8,0,4.1,0,0.5
21066,15,8,2.3,10.7,8.4,2.2,0.7,0,0.8,1.4,12, _Sandy,39,35,38,92300,20, _Sandy,26,3,19,5, _SY390,80,0,1,10,1.1,0,1.1,0,0.3
21069,26,5,2.6,4.3,1.7,2.5,0.1,0,1.6,1.8,17, _Sandy,28,1,86,131200,16, _Clay,12,13,140,4, _SY295,38,1,0,4,1.1,0,1,0,0.1
21074,13,8.4,3.2,12,8.8,3.1,0,0,1.6,2.4,15, _Clay,27,25,67,189700,17, _Sandy,0,10,80,5, _SY390,39,0,1,2,2.2,0,2.7,0,0.5
21081,28,7.6,6.9,10.2,3.3,6.8,1.1,0,0.8,3.4,13, _Sandy,5,2,57,148000,13, _Sandy,15,24,139,4, _SY295,48,0,0,5,3.7,0,6.2,0,0.5
21092,12,3.8,2.8,3.4,0.6,2.7,0,0.6,1.6,1.2,17, _Sandy,23,35,95,145200,15, _Sandy,15,3,20,5, _SY390,81,1,0,1,1.3,0.4,2.7,0.1,0.3
21096,22,13.9,3.1,6.6,3.5,3,0.7,0,0.8,1.9,12, _Sandy,13,1,143,184100,20, _Clay,0,13,141,4, _SY295,39,0,1,4,1.8,0,0.9,0,0.1
21117,16,7.8,6.9,8.4,1.5,6.8,0,2,1.6,4.9,12, _Clay,3,38,46,59500,16, _Clay,33,11,142,3, _SY295,28,1,1,4,2.8,1.2,5.6,1,0.3
21157,21,1,8.8,15.3,6.5,8.7,0,4,1.6,4.7,15, _Clay,16,40,180,49700,12, _Clay,33,28,25,4, _SY390,78,1,0,10,7.6,3.8,4.6,3.5,0.3
21161,18,7.1,2.5,6.3,3.8,2.4,0,0.2,0.8,1.1,19, _Clay,31,6,25,128400,15, _Sandy,15,12,204,4, _SY390,82,1,0,6,1.6,0.1,1.6,0,0.5
21170,29,11.5,2,11.8,9.8,1.9,0,0.9,0.8,1.5,13, _Sandy,45,41,257,186100,14, _Sandy,44,44,206,3, _SY390,61,0,0,5,1.2,0.8,1.7,0.4,0.3
21174,23,9.8,7.8,16.8,9,7.7,0.2,0,1.6,7.2,13, _Clay,44,21,43,165100,11, _Sandy,41,2,28,5, _SY390,35,1,1,8,0.7,0,3.6,0,0.3
21178,20,2.9,9.6,15.8,6.2,9.5,3.4,0,0.8,4.9,17, _Clay,8,32,188,44800,14, _Sandy,23,32,208,5, _SY390,39,1,1,4,9.2,0,9.3,0,0.1
21191,27,6.7,3.1,7.2,4.1,3,0,1.1,0.8,2.3,17, _Sandy,46,3,198,1600,20, _Sandy,37,35,208,5, _SY390,65,0,1,5,2.3,0.4,1.1,0,0.2
21212,20,13.6,6.9,9.1,2.2,6.8,0,1.7,1.6,5.6,17, _Sandy,37,40,100,76100,16, _Sandy,19,34,209,3, _SY390,53,0,0,5,3.5,1.2,5.3,0.9,0.4
21231,11,13,5,14.2,9.2,4.9,0,0.2,0.8,1.4,11, _Clay,8,5,32,190800,17, _Sandy,37,7,91,3, _SY295,49,1,0,10,1.3,0.1,2.1,0,0.3
21233,26,11.5,9.2,15,5.8,9.1,0,1.2,0.8,8,18, _Clay,2,32,206,110800,15, _Sandy,4,12,151,4, _SY295,61,1,1,2,3.6,0.1,8.7,0.2,0.1
21244,12,2.2,2.7,6.4,3.7,2.6,0,0.4,0.8,1.2,19, _Clay,40,3,215,67700,12, _Clay,19,16,151,4, _SY390,87,0,0,3,0.4,0,0.4,0.2,0.3
21252,20,5.4,4.9,8.7,3.8,4.8,0,2.3,1.6,4.5,18, _Sandy,44,25,108,185200,20, _Clay,37,10,152,3, _SY295,49,1,0,2,2.3,0.8,3.8,1.7,0.3
21280,16,1.1,5.4,11,5.6,5.3,0,0.7,0.8,4.1,13, _Sandy,28,25,166,39100,15, _Sandy,26,10,153,3, _SY295,50,1,1,3,0.9,0.4,2.1,0.3,0.4
21290,30,13.2,2.5,5.1,2.6,2.4,0,0.1,1.6,1.8,14, _Sandy,11,44,68,56500,19, _Sandy,18,22,274,3, _SY390,87,0,0,6,1.3,0,1.1,0,0.5
21302,25,6.6,5.3,15.2,9.9,5.2,0,0.4,0.8,2.7,11, _Sandy,14,45,242,33500,18, _Clay,26,13,214,3, _SY390,51,0,1,4,4.4,0.1,2.9,0.3,0.4
21324,22,1.8,6.4,10.6,4.2,6.3,0,3.1,0.8,4.3,15, _Sandy,15,7,183,48100,14, _Clay,18,4,216,4, _SY390,55,0,0,4,3.6,2.3,5.6,1.1,0.4
21335,27,11,2.3,3.9,1.6,2.2,0,1,0.8,1.3,19, _Clay,33,39,221,45300,16, _Sandy,18,28,97,3, _SY295,88,1,0,10,1,0.5,2.1,0,0.2
21355,25,6.4,10,13,3,9.9,1.9,0,0.8,7,11, _Sandy,29,4,250,199800,14, _Sandy,33,22,37,3, _SY295,64,1,1,8,7.5,0,9.9,0,0.4
21364,23,6.8,2.8,6.1,3.3,2.7,0.9,0,1.6,1.1,14, _Clay,17,39,279,98200,20, _Sandy,7,28,98,3, _SY295,89,1,1,10,1.1,0,1.9,0,0.2
21369,21,6.4,5.9,14.3,8.4,5.8,0,2.1,1.6,2.3,18, _Sandy,27,33,103,17300,17, _Clay,15,24,221,3, _SY390,79,1,0,2,4.1,1.9,5,0.7,0.4
21371,23,14,3.5,12.6,9.1,3.4,0,1.5,0.8,2.6,14, _Sandy,47,16,75,176000,12, _Sandy,30,3,40,4, _SY390,71,1,0,7,2.2,0.2,2.9,0,0.3
21378,28,5.1,6.1,13.5,7.4,6,0.1,0,0.8,3.2,17, _Sandy,22,23,113,31300,15, _Sandy,18,14,101,3, _SY390,56,0,0,9,2.9,0,2.5,0,0.1
21381,16,8.5,6.7,11.6,4.9,6.6,3,0,0.8,5.2,15, _Clay,21,2,94,89800,16, _Sandy,7,11,40,4, _SY295,56,1,1,8,5.8,0,6.2,0,0.5
21388,30,7.4,3.8,5.7,1.9,3.7,0.8,0,0.8,2.6,15, _Sandy,4,21,296,107100,20, _Sandy,0,22,161,4, _SY295,27,1,0,2,1.5,0,0.8,0,0.2
21391,15,3.2,6.9,15.4,8.5,6.8,2.9,0,0.8,3.5,16, _Clay,34,18,6,6900,15, _Sandy,25,40,281,3, _SY295,36,1,0,6,5.7,0,5,0,0.2
21392,19,4.5,4.2,9,4.8,4.1,1.8,0,1.6,3.8,11, _Sandy,44,32,44,146100,16, _Sandy,37,33,282,3, _SY390,51,0,0,5,2.6,0,2,0,0.5
