,堤体延長,堤体幅,左右壁体高さ,中詰土天端高さ,堤外区間地表面,堤内区間地表面,引張材間隔,在来地盤重量,在来地盤区分,在来地盤N値,在来地盤摩擦角,在来地盤粘着力,在来地盤変形係数,中詰め重量,中詰め区分,中詰めN値,中詰め摩擦角,中詰め粘着力,矢板型,矢板材料,引張材直径,引張材材料番号,腹起し材質,堤外側水位_常時,堤内側水位_常時,せん断変形破壊,滑動、支持力,根入れ部の安定,遮水効果,矢板の耐力照査,タイロッドの耐力照査,腹起しの耐力照査
23,10,11.4,2.4,2.3,0.0,0.8,1.6,17,1,38,2,29,114700,18,0,42,3,190,4,295,74,1,0,0.9,0.7,0.001200012000120001,0.23346303501945526,0.021285653469561516,0.016203703703703703,0.0,0.0,0.0
24,14,12.7,7.8,7.7,0.0,2.8,0.8,12,1,49,16,67,54800,18,0,2,41,191,5,390,89,1,0,6.5,0.4,0.001200012000120001,0.15483870967741936,0.1347708894878706,0.7399577167019027,0.01276595744680851,0.00980392156862745,0.0
25,18,13.9,5.1,5.0,0.0,2.1,1.6,16,1,8,30,106,194000,18,1,13,33,192,5,390,39,1,0,3.3,0.8,0.001200012000120001,0.032240730789897906,0.015791135909043057,0.14095851792186873,0.0,0.0,0.0
26,22,2.1,2.4,2.3,0.2,0.0,0.8,20,0,18,44,144,134100,19,0,25,26,193,3,295,55,0,0,0.3,0.0,0.001200012000120001,0.004146939903929225,0.001000010000100001,0.1206896551724138,0.0,0.0,0.0
27,11,5.7,9.6,9.5,0.0,0.3,1.6,16,1,12,27,213,133500,11,1,35,25,71,4,295,28,1,0,6.1,0.2,0.22900763358778625,0.08236101578586136,0.027782922763474716,0.9408602150537634,0.1,0.2636363636363636,0.07142857142857142
28,22,3.0,8.5,8.4,0.0,0.6,0.8,19,0,48,41,48,113300,19,0,42,37,130,5,390,90,0,1,0.8,0.5,0.001200012000120001,0.01708914839077186,0.001000010000100001,0.03535353535353535,0.0,0.0,0.0
29,29,11.8,3.4,3.3,0.0,0.6,1.6,20,0,27,38,58,13100,14,0,16,10,250,4,295,33,1,1,2.0,0.1,0.001200012000120001,0.03854802441374879,0.028402366863905324,0.21875,0.016666666666666666,0.045454545454545456,0.005405405405405406
30,23,10.3,7.6,7.5,0.0,2.0,0.8,18,1,21,21,232,132100,12,1,35,15,11,5,295,45,0,1,5.1,1.3,0.001200012000120001,0.03824091778202677,0.038880248833592534,0.691699604743083,0.05555555555555555,0.16279069767441862,0.010810810810810811
31,14,7.6,6.4,6.3,0.0,1.9,1.6,11,0,6,35,67,111900,20,0,42,27,70,3,295,41,1,0,6.3,1.4,0.001200012000120001,0.16506189821182943,0.10544815465729349,1.1400651465798046,0.027777777777777776,0.21568627450980393,0.10714285714285714
32,15,1.0,7.6,7.5,2.7,0.0,1.6,11,0,1,18,47,151500,13,0,17,38,14,3,295,26,1,1,5.2,0.0,1.2903225806451613,0.5405405405405405,0.24048096192384769,0.7812499999999999,0.12777777777777777,0.10909090909090909,0.005405405405405406
33,21,9.9,2.6,2.5,0.1,0.0,0.8,12,0,31,15,56,51300,18,0,43,10,134,5,390,34,0,1,2.5,0.0,0.01603849238171612,0.1382488479262673,0.09441384736428009,0.3707627118644068,0.01702127659574468,0.10638297872340426,0.016216216216216217
34,19,3.2,2.9,2.8,0.0,0.1,0.8,14,1,41,29,289,70800,13,0,46,42,252,3,295,77,0,0,0.5,0.0,0.001200012000120001,0.00494417205718759,0.001000010000100001,0.2222222222222222,0.0,0.0,0.0
35,10,13.5,9.8,9.7,0.0,0.9,1.6,17,0,25,43,125,50600,11,1,2,9,12,4,390,73,1,1,5.9,0.7,0.04836759371221282,0.07088009450679267,0.1411764705882353,0.9722222222222222,0.4978723404255319,0.14705882352941177,0.05405405405405406
36,21,10.8,8.6,8.5,0.0,1.0,0.8,11,1,9,12,260,30500,18,0,9,22,71,5,295,69,0,0,8.4,0.0,0.14218009478672985,0.11406844106463879,0.08029978586723768,1.6203703703703702,0.18888888888888888,0.046511627906976744,0.02857142857142857
37,23,5.1,7.7,7.6,0.0,2.5,0.8,19,1,34,37,144,49200,12,1,2,44,252,4,295,90,0,0,5.1,1.9,0.001200012000120001,0.041608876560332866,0.001000010000100001,0.5057803468208093,0.027777777777777776,0.0,0.0
38,24,12.4,6.9,6.8,0.0,0.2,1.6,18,0,8,17,28,68000,15,1,46,21,133,4,295,44,0,0,0.5,0.1,0.001200012000120001,0.17069701280227595,0.2830188679245283,0.03571428571428571,0.005555555555555556,0.0,0.0
39,28,13.7,4.2,4.1,0.0,0.3,0.8,12,1,18,31,66,8100,15,0,6,14,134,5,390,60,1,0,3.0,0.2,0.01019974500637484,0.06582556226001096,0.04178272980501393,0.40369088811995385,0.05531914893617021,0.029411764705882353,0.014285714285714285
40,18,11.0,3.0,2.9,0.0,0.3,0.8,15,1,3,45,202,187000,13,0,13,26,194,5,295,56,0,1,0.5,0.2,0.001200012000120001,0.0017400635123181996,0.001000010000100001,0.03286384976525822,0.0,0.0,0.0
41,13,9.5,7.2,7.1,0.0,1.4,0.8,13,0,48,27,76,106900,11,0,32,31,254,4,295,68,1,0,2.3,0.3,0.001200012000120001,0.03879728419010669,0.036308623298033284,0.22335673261008296,0.0,0.0,0.0
42,25,6.7,6.0,5.9,0.0,1.3,1.6,16,1,33,41,211,86800,18,0,39,43,14,4,390,64,1,0,4.0,0.4,0.001200012000120001,0.030112923462986198,0.015646187545634713,0.8009153318077803,0.02127659574468085,0.049019607843137254,0.02142857142857143
43,15,4.0,4.8,4.7,0.0,1.2,0.8,20,0,17,10,47,66600,16,1,46,11,73,5,295,61,0,1,4.7,0.5,0.0918133129303749,0.3305785123966942,0.17857142857142858,1.2773722627737225,0.03333333333333333,0.011627906976744186,0.005405405405405406
44,27,1.2,3.6,3.5,0.0,1.0,1.6,13,1,1,24,182,46500,13,0,2,23,133,3,390,57,1,0,2.0,0.5,0.001200012000120001,0.024575056317837397,0.001000010000100001,0.47297297297297297,0.00851063829787234,0.0,0.0
45,10,2.5,9.0,8.9,0.0,3.0,0.8,17,1,12,38,221,185600,14,1,13,16,134,3,390,73,1,0,3.2,2.3,0.001200012000120001,0.007270964614638876,0.001000010000100001,0.03111111111111111,0.0,0.0,0.0
46,14,3.8,6.4,6.3,0.0,2.5,0.8,11,1,22,7,259,125700,14,1,24,8,135,3,295,89,0,0,5.2,0.0,0.001200012000120001,0.0701344243132671,0.02926829268292683,0.5942275042444822,0.0,0.0,0.0
47,26,1.0,5.2,5.1,0.0,2.2,1.6,15,0,6,21,95,105500,12,0,32,21,195,4,390,85,1,1,2.5,0.2,0.001200012000120001,0.06618863761720904,0.035211267605633804,0.07835236176404746,0.0,0.0,0.0
48,30,2.3,2.5,2.4,0.0,1.1,0.8,19,0,17,35,133,45700,12,1,43,13,196,5,295,35,1,1,2.1,0.3,0.001200012000120001,0.03125814014066163,0.01740139211136891,0.564516129032258,0.0,0.00909090909090909,0.0
49,24,7.4,5.5,5.4,0.0,2.4,0.8,17,1,16,35,27,125100,16,1,35,7,13,5,295,61,1,0,3.2,0.3,0.001200012000120001,0.0644122383252818,0.03785966683493185,0.0979020979020979,0.03333333333333333,0.058823529411764705,0.007142857142857143
50,15,4.6,4.3,4.2,0.0,2.0,1.6,20,0,0,4,163,104900,14,1,42,20,72,3,390,58,0,1,3.5,0.5,0.001200012000120001,0.0718993409227082,0.03915171288743883,0.20196191575302944,0.0,0.0,0.0
51,15,11.2,5.5,5.4,0.0,0.5,1.6,20,0,47,32,143,144500,17,1,17,31,16,3,390,43,0,0,1.6,0.3,0.001200012000120001,0.016713091922005572,0.012065151819827067,0.13899920571882446,0.02127659574468085,0.03488372093023256,0.007142857142857143
52,27,8.4,4.3,4.2,0.0,0.5,0.8,13,1,31,1,278,124300,15,0,24,43,75,4,295,39,1,1,2.9,0.4,0.001200012000120001,0.037243947858473,0.001000010000100001,0.3292568203198495,0.016666666666666666,0.03636363636363636,0.005405405405405406
53,21,13.5,7.3,7.2,0.0,0.8,0.8,11,0,30,1,173,4700,19,0,16,37,193,5,295,66,0,1,1.8,0.5,0.001200012000120001,0.16150740242261102,0.021691973969631236,0.12727272727272726,0.027777777777777776,0.011627906976744186,0.0
54,22,6.9,8.5,8.4,0.0,1.8,1.6,11,0,26,29,152,44300,13,1,43,3,136,5,390,51,0,0,6.5,0.4,0.001200012000120001,0.11940298507462685,0.06525285481239804,0.8883248730964467,0.02553191489361702,0.023255813953488372,0.014285714285714285
55,16,12.0,3.4,3.3,0.0,0.6,1.6,19,1,25,29,47,123700,17,1,35,42,253,3,295,78,0,1,1.2,0.0,0.001200012000120001,0.02432103769760843,0.017164435290078956,0.109375,0.0,0.0,0.0
56,20,13.3,8.8,8.7,0.0,2.1,0.8,13,1,35,43,85,63800,18,0,46,35,254,3,295,28,0,1,7.9,0.5,0.001200012000120001,0.106951871657754,0.04796929964822513,0.6003430531732419,0.07777777777777778,0.0425531914893617,0.0
57,10,10.5,7.6,7.5,0.0,2.1,1.6,17,0,20,12,221,43700,15,0,2,2,14,4,390,90,1,0,3.6,0.8,0.001200012000120001,0.0490596892886345,0.03701418877236273,0.16611295681063123,0.2,0.11764705882352941,0.08571428571428572
58,15,11.8,4.9,4.8,0.0,1.5,0.8,11,0,30,26,259,182800,16,1,13,40,15,4,295,40,0,0,4.6,0.9,0.001200012000120001,0.039538714991762765,0.02612671456564337,0.43586550435865506,0.016666666666666666,0.03488372093023256,0.0
59,26,9.1,3.7,3.6,0.0,1.2,1.6,14,1,14,40,95,162600,13,0,20,7,74,5,390,36,1,1,2.0,0.8,0.001200012000120001,0.017572118904671252,0.001000010000100001,0.12442232492001422,0.0,0.01818181818181818,0.005405405405405406
60,30,10.3,9.2,9.1,0.0,3.7,0.8,19,1,25,9,133,102700,13,1,32,45,75,3,295,52,1,1,9.1,3.4,0.001200012000120001,0.1509433962264151,0.045289855072463775,1.0057471264367817,0.07777777777777778,0.1568627450980392,0.06486486486486487
61,13,11.6,6.5,6.4,0.0,2.8,1.6,13,0,35,23,171,42900,14,1,43,38,76,3,390,68,0,1,5.1,0.3,0.001200012000120001,0.06936416184971098,0.04419889502762431,0.25964391691394656,0.00851063829787234,0.0,0.0
62,28,3.6,9.5,9.4,0.0,4.0,0.8,11,1,34,23,66,122300,18,1,35,31,193,4,390,29,1,0,4.8,3.8,0.001200012000120001,0.12096774193548386,0.001000010000100001,0.13333333333333333,0.00425531914893617,0.0,0.0
63,12,4.8,6.8,6.7,0.0,3.2,1.6,15,1,44,37,104,62400,19,0,46,24,194,4,295,44,0,0,6.1,0.5,0.001200012000120001,0.08486562942008485,0.03870967741935484,0.7246376811594203,0.016666666666666666,0.0,0.0
64,20,7.3,9.5,9.4,0.0,0.6,1.6,14,1,14,20,181,141700,19,1,17,10,196,5,390,76,0,0,1.6,0.3,0.001200012000120001,0.07130124777183601,0.001000010000100001,0.1891891891891892,0.00425531914893617,0.0,0.0
65,14,12.4,4.4,4.3,0.0,0.2,1.6,12,0,13,20,75,22100,14,1,9,4,14,5,295,37,0,0,2.8,0.0,0.03367948358125175,0.08275862068965517,0.08333333333333333,0.45931758530183725,0.05,0.35106382978723405,0.03571428571428571
66,25,9.7,3.2,3.1,0.0,0.2,0.8,15,1,48,34,211,1900,11,0,16,16,73,3,295,33,1,1,0.3,0.1,0.001200012000120001,0.0037823866859988653,0.001000010000100001,0.019553072625698324,0.0,0.0,0.0
67,30,11.0,8.6,8.5,0.0,1.1,1.6,19,1,8,3,249,141100,12,1,27,9,74,4,390,49,1,1,6.2,0.8,0.021052631578947368,0.07657945118059988,0.03334815473543797,0.56,0.05106382978723404,0.029411764705882353,0.016216216216216217
68,20,8.2,7.4,7.3,0.0,1.2,0.8,13,0,43,17,85,120900,19,1,35,21,134,4,295,45,1,1,1.8,1.0,0.001200012000120001,0.0407885791978246,0.001000010000100001,0.18286311389759666,0.005555555555555556,0.010638297872340425,0.0
69,11,5.5,6.2,6.1,0.0,1.2,0.8,16,1,27,31,221,100700,17,0,42,33,193,5,390,41,0,0,3.7,1.1,0.001200012000120001,0.03012048192771084,0.022039377020276227,1.0294117647058825,0.01702127659574468,0.023255813953488372,0.0
70,15,6.7,3.5,3.4,0.0,0.8,1.6,20,1,38,45,259,40900,17,1,2,26,194,5,295,57,0,0,1.2,0.1,0.001200012000120001,0.005414429454496232,0.001000010000100001,0.06635071090047394,0.0,0.0,0.0
71,27,4.0,2.3,2.2,0.0,0.6,0.8,14,0,22,14,94,20700,15,0,9,38,254,3,390,54,1,1,1.5,0.1,0.001200012000120001,0.05231037489102005,0.029747149231531975,0.1675442795595979,0.01276595744680851,0.00980392156862745,0.0
72,14,6.5,5.1,5.0,0.0,1.9,0.8,12,1,43,42,171,99900,15,1,32,24,256,4,295,85,0,1,4.7,1.3,0.001200012000120001,0.03679852805887764,0.001000010000100001,0.36045314109165805,0.022222222222222223,0.0,0.0
73,18,7.8,2.4,2.3,0.0,1.0,1.6,17,1,2,11,210,40100,16,0,43,17,257,4,390,35,0,1,1.7,0.9,0.001200012000120001,0.014763779527559055,0.001000010000100001,0.12127512127512127,0.00425531914893617,0.02127659574468085,0.0
74,22,9.9,5.7,5.6,0.0,0.4,0.8,20,0,42,21,152,158400,16,1,20,21,195,4,390,86,1,0,1.2,0.1,0.001200012000120001,0.033176665745092614,0.001000010000100001,0.11616329239960173,0.00425531914893617,0.0,0.0
75,10,12.4,8.4,8.3,0.0,1.3,0.8,18,1,11,4,229,38700,16,0,43,6,197,5,390,51,0,0,4.6,1.0,0.001200012000120001,0.08651766402307137,0.02413904087544255,0.3619441571871768,0.029787234042553193,0.011627906976744186,0.007142857142857143
76,25,4.4,3.3,3.2,0.0,0.4,0.8,16,1,10,4,123,118100,11,0,35,45,15,3,390,78,1,1,3.2,0.2,0.06818181818181818,0.0916030534351145,0.03145313482910463,0.49504950495049505,0.02127659574468085,0.00980392156862745,0.0
77,15,1.7,2.1,2.0,0.0,0.3,1.6,20,0,46,18,259,97900,18,1,42,12,74,3,295,75,0,0,1.0,0.2,0.001200012000120001,0.01166747690811862,0.001000010000100001,0.13922036595067622,0.005555555555555556,0.0,0.007142857142857143
78,23,4.2,4.8,4.7,0.0,1.3,1.6,18,1,15,1,36,177200,19,0,13,43,76,4,390,40,1,0,3.7,0.2,0.023282887077997673,0.43165467625899284,0.1976284584980237,1.2915129151291513,0.00425531914893617,0.029411764705882353,0.02142857142857143
79,14,1.4,3.6,3.5,0.0,1.1,1.6,12,0,0,15,171,157000,17,1,20,10,136,5,295,36,0,1,1.3,0.3,0.001200012000120001,0.03280481137233461,0.001000010000100001,0.17073170731707318,0.0,0.0,0.0
80,26,11.8,2.5,2.4,0.0,0.8,0.8,15,0,35,29,7,136900,14,0,27,22,195,3,390,33,1,1,1.6,0.3,0.001200012000120001,0.08614501076812635,0.15706806282722513,0.1891891891891892,0.0,0.0,0.0
81,30,13.1,7.9,7.8,0.0,3.0,1.6,19,1,45,43,45,77000,15,0,39,15,196,3,295,49,0,1,3.8,1.9,0.001200012000120001,0.02482416218452627,0.001000010000100001,0.09301089556205155,0.005555555555555556,0.0,0.0
82,20,10.3,6.7,6.6,0.0,2.8,0.8,13,1,30,12,181,56800,12,1,46,27,256,4,390,45,1,0,5.0,2.1,0.001200012000120001,0.04578405188859214,0.01787203622066007,0.2779984114376489,0.01702127659574468,0.0196078431372549,0.0
83,11,7.6,5.5,5.4,0.0,2.5,1.6,16,0,14,26,16,36700,20,0,2,40,16,4,295,41,0,1,5.4,2.2,0.01589825119236884,0.22727272727272727,0.24439918533604887,0.4013761467889908,0.027777777777777776,0.16279069767441862,0.016216216216216217
84,15,8.8,2.8,2.7,0.0,0.0,0.8,20,0,24,40,55,175800,20,0,13,32,17,5,390,57,0,1,1.7,0.0,0.007432181345224823,0.04074702886247878,0.02915451895043732,0.35860655737704916,0.00425531914893617,0.023255813953488372,0.0
85,13,2.1,3.1,3.0,0.0,0.1,0.8,13,0,34,9,288,195300,15,1,16,19,135,3,295,34,0,1,2.5,0.0,0.053981106612685556,0.044477390659747956,0.021941854086670324,0.45161290322580644,0.016666666666666666,0.02127659574468085,0.0
86,17,3.3,8.5,8.4,0.0,0.7,1.6,17,0,44,23,26,135500,15,0,27,12,136,3,390,49,1,0,4.2,0.2,0.001200012000120001,0.029505778214900417,0.001000010000100001,0.07510729613733905,0.0,0.0,0.0
87,29,13.7,7.3,7.2,0.0,0.8,0.8,20,1,29,37,162,115300,13,1,35,24,195,4,295,46,0,1,6.4,0.3,0.019150973507819982,0.06597031335898845,0.030612244897959183,0.813953488372093,0.07777777777777778,0.06976744186046512,0.005405405405405406
88,12,1.9,4.6,4.5,0.0,0.7,1.6,15,1,39,6,200,55400,13,1,46,17,196,4,295,61,0,1,2.7,0.4,0.001200012000120001,0.05402971634398919,0.021626297577854673,1.4,0.016666666666666666,0.023255813953488372,0.010810810810810811
89,24,12.2,3.4,3.3,0.0,0.6,0.8,18,0,23,20,35,35300,11,0,2,29,256,5,390,58,1,0,3.1,0.4,0.0070825709732632944,0.12875536480686695,0.132890365448505,0.5537974683544303,0.00851063829787234,0.029411764705882353,0.007142857142857143
90,28,13.5,8.8,8.7,0.0,2.1,1.6,12,0,34,34,74,174400,11,1,13,22,257,5,295,73,0,0,5.9,0.0,0.001200012000120001,0.13761467889908255,0.08823529411764706,0.4375,0.011111111111111112,0.03488372093023256,0.02142857142857143
91,19,10.7,7.6,7.5,0.0,2.1,0.8,15,1,18,3,209,154200,18,1,20,34,16,3,390,70,1,1,7.5,0.2,0.001200012000120001,0.11904761904761904,0.05804953560371517,0.6704980842911877,0.05106382978723404,0.00980392156862745,0.0
92,23,12.0,5.0,4.9,0.0,1.5,1.6,20,1,28,17,248,94300,19,0,32,27,17,3,295,85,1,1,3.7,0.5,0.001200012000120001,0.02631578947368421,0.017657445556209534,0.35823950870010235,0.016666666666666666,0.0,0.0
93,13,9.2,3.8,3.7,0.0,1.3,1.6,13,0,13,31,83,74200,16,1,39,39,77,4,390,82,0,1,1.4,0.6,0.001200012000120001,0.018373909049150206,0.013388374428204843,0.01832460732984293,0.0,0.0,0.0
94,25,6.5,2.6,2.5,0.0,0.9,0.8,16,1,48,45,219,54000,14,1,46,7,137,5,295,78,0,0,1.6,0.5,0.001200012000120001,0.0072171768809767235,0.001000010000100001,0.14761703922395614,0.005555555555555556,0.0,0.0
95,29,7.8,8.0,7.9,0.0,3.5,1.6,11,1,7,14,257,193100,14,0,6,44,138,5,295,28,0,0,3.9,2.7,0.001200012000120001,0.03485332558814987,0.001000010000100001,0.10687022900763359,0.0,0.0,0.0
96,12,9.0,5.3,5.2,0.0,2.5,0.8,15,1,18,28,296,133300,15,1,17,37,139,3,390,44,0,0,4.6,0.0,0.001200012000120001,0.030495552731893263,0.001000010000100001,0.2904564315352697,0.0,0.0,0.0
97,18,11.4,7.1,7.0,2.4,0.0,1.6,16,1,1,42,26,192500,17,0,16,43,15,4,295,67,1,1,5.6,0.0,0.010355540214014497,0.15151515151515152,0.078003120124805,0.45103092783505155,0.07777777777777778,0.011627906976744186,0.005405405405405406
98,19,4.8,8.3,8.2,0.0,0.9,1.6,16,1,48,25,5,33100,20,1,43,9,259,4,295,52,1,0,2.6,0.4,0.0644122383252818,0.1901743264659271,0.6637168141592921,1.1945392491467577,0.16666666666666666,0.05813953488372093,0.007142857142857143
99,30,2.0,7.1,7.0,0.0,1.0,1.6,19,0,32,39,141,12900,18,0,50,22,18,5,390,48,0,0,4.9,0.5,0.001200012000120001,0.08676789587852494,0.04120879120879121,1.2195121951219512,0.10638297872340426,0.5813953488372093,0.12142857142857143
100,24,7.2,2.0,1.9,0.1,0.0,1.6,17,1,31,39,35,92300,12,0,42,16,136,3,390,75,0,0,0.3,0.0,0.001200012000120001,0.00774493352265393,0.001000010000100001,0.08536585365853659,0.0,0.0,0.0
101,25,13.7,3.3,3.2,0.0,0.7,1.6,17,1,27,22,15,131900,15,1,17,27,79,3,390,60,0,1,2.5,0.6,0.001200012000120001,0.023148148148148147,0.001000010000100001,0.155902004454343,0.00425531914893617,0.0,0.005405405405405406
102,16,10.9,2.1,2.0,0.0,0.5,0.8,20,0,11,36,151,111700,13,0,24,39,139,4,295,56,1,0,0.6,0.0,0.001200012000120001,0.0032685079261317207,0.001000010000100001,0.026119402985074626,0.0,0.0,0.0
103,27,8.2,9.0,8.9,0.0,2.6,1.6,14,0,46,5,286,91500,11,1,32,6,198,5,295,53,0,1,5.9,0.3,0.001200012000120001,0.05982053838484547,0.04201680672268908,0.8620689655172414,0.005555555555555556,0.0,0.0
104,18,5.4,7.8,7.7,0.0,2.5,0.8,17,1,31,18,122,71400,18,1,39,18,258,5,390,49,1,1,7.4,0.6,0.001200012000120001,0.17291066282420747,0.07451564828614009,1.5418502202643172,0.029787234042553193,0.049019607843137254,0.005405405405405406
105,22,6.7,5.1,5.0,0.0,1.9,1.6,11,0,41,32,160,11500,18,0,50,11,259,3,295,65,1,1,3.7,0.9,0.001200012000120001,0.04550625711035267,0.02652519893899204,0.264750378214826,0.03888888888888889,0.0196078431372549,0.010810810810810811
106,13,4.0,3.9,3.8,0.0,1.6,1.6,14,0,25,1,296,190300,16,1,6,23,18,4,390,61,1,0,3.8,0.9,0.001200012000120001,0.04979253112033195,0.027428571428571427,0.3597122302158273,0.00851063829787234,0.00980392156862745,0.0
