íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,à¯í£çﬁà íu,ï†ãNÇµî‘çÜ,ç™ì¸ÇÍê[Ç≥,à¿ëSó¶ÉGÉâÅ[îªíË
16,12.0,3.4,3.3,0.0,0.6,1.6,19,1,25,29,47,123700,17,1,35,42,253,0,0,78,0,1,1.2,0.0,2.9,7,3.3000000000000003,0
20,13.3,8.8,8.7,0.0,2.1,0.8,13,1,35,43,85,63800,18,0,46,35,254,0,0,28,0,1,7.9,0.5,7.1,6,9.2,0
10,10.5,7.6,7.5,0.0,2.1,1.6,17,0,20,12,221,43700,15,0,2,2,14,1,1,90,1,0,3.6,0.8,5.2,9,9.500000000000002,0
15,11.8,4.9,4.8,0.0,1.5,0.8,11,0,30,26,259,182800,16,1,13,40,15,1,0,40,0,0,4.6,0.9,2.9,8,5.799999999999999,0
26,9.1,3.7,3.6,0.0,1.2,1.6,14,1,14,40,95,162600,13,0,20,7,74,2,1,36,1,1,2.0,0.8,1.8,0,6.1000000000000005,0
30,10.3,9.2,9.1,0.0,3.7,0.8,19,1,25,9,133,102700,13,1,32,45,75,0,0,52,1,1,9.1,3.4,4.3,0,2.4000000000000004,0
13,11.6,6.5,6.4,0.0,2.8,1.6,13,0,35,23,171,42900,14,1,43,38,76,0,1,68,0,1,5.1,0.3,5.9,9,8.3,0
28,3.6,9.5,9.4,0.0,4.0,0.8,11,1,34,23,66,122300,18,1,35,31,193,1,1,29,1,0,4.8,3.8,8.5,5,6.699999999999999,0
12,4.8,6.8,6.7,0.0,3.2,1.6,15,1,44,37,104,62400,19,0,46,24,194,1,0,44,0,0,6.1,0.5,5.6,4,3.000000000000001,0
20,7.3,9.5,9.4,0.0,0.6,1.6,14,1,14,20,181,141700,19,1,17,10,196,2,1,76,0,0,1.6,0.3,4.0,3,5.300000000000001,0
14,12.4,4.4,4.3,0.0,0.2,1.6,12,0,13,20,75,22100,14,1,9,4,14,2,0,37,0,0,2.8,0.0,1.6,9,3.6,0
25,9.7,3.2,3.1,0.0,0.2,0.8,15,1,48,34,211,1900,11,0,16,16,73,0,0,33,1,1,0.3,0.1,0.7,1,4.0,0
30,11.0,8.6,8.5,0.0,1.1,1.6,19,1,8,3,249,141100,12,1,27,9,74,1,1,49,1,1,6.2,0.8,8.2,1,9.9,0
20,8.2,7.4,7.3,0.0,1.2,0.8,13,0,43,17,85,120900,19,1,35,21,134,1,0,45,1,1,1.8,1.0,5.9,3,0.5999999999999996,0
11,5.5,6.2,6.1,0.0,1.2,0.8,16,1,27,31,221,100700,17,0,42,33,193,2,1,41,0,0,3.7,1.1,4.1,5,0.8999999999999995,0
15,6.7,3.5,3.4,0.0,0.8,1.6,20,1,38,45,259,40900,17,1,2,26,194,2,0,57,0,0,1.2,0.1,2.0,5,6.800000000000001,0
27,4.0,2.3,2.2,0.0,0.6,0.8,14,0,22,14,94,20700,15,0,9,38,254,0,1,54,1,1,1.5,0.1,1.1,7,7.1000000000000005,0
14,6.5,5.1,5.0,0.0,1.9,0.8,12,1,43,42,171,99900,15,1,32,24,256,1,0,85,0,1,4.7,1.3,4.6,6,9.4,0
18,7.8,2.4,2.3,0.0,1.0,1.6,17,1,2,11,210,40100,16,0,43,17,257,1,1,35,0,1,1.7,0.9,1.8,5,5.699999999999999,0
22,9.9,5.7,5.6,0.0,0.4,0.8,20,0,42,21,152,158400,16,1,20,21,195,1,1,86,1,0,1.2,0.1,0.7,4,6.9,0
10,12.4,8.4,8.3,0.0,1.3,0.8,18,1,11,4,229,38700,16,0,43,6,197,2,1,51,0,0,4.6,1.0,6.1,3,9.1,0
25,4.4,3.3,3.2,0.0,0.4,0.8,16,1,10,4,123,118100,11,0,35,45,15,0,1,78,1,1,3.2,0.2,2.1,9,7.500000000000001,0
15,1.7,2.1,2.0,0.0,0.3,1.6,20,0,46,18,259,97900,18,1,42,12,74,0,0,75,0,0,1.0,0.2,1.1,1,7.800000000000001,0
23,4.2,4.8,4.7,0.0,1.3,1.6,18,1,15,1,36,177200,19,0,13,43,76,1,1,40,1,0,3.7,0.2,1.9,0,0.5,0
14,1.4,3.6,3.5,0.0,1.1,1.6,12,0,0,15,171,157000,17,1,20,10,136,2,0,36,0,1,1.3,0.3,3.2,2,0.8000000000000003,0
26,11.8,2.5,2.4,0.0,0.8,0.8,15,0,35,29,7,136900,14,0,27,22,195,0,1,33,1,1,1.6,0.3,1.9,5,1.1,0
30,13.1,7.9,7.8,0.0,3.0,1.6,19,1,45,43,45,77000,15,0,39,15,196,0,0,49,0,1,3.8,1.9,5.8,4,7.0,0
20,10.3,6.7,6.6,0.0,2.8,0.8,13,1,30,12,181,56800,12,1,46,27,256,1,1,45,1,0,5.0,2.1,4.4,6,7.3,0
11,7.6,5.5,5.4,0.0,2.5,1.6,16,0,14,26,16,36700,20,0,2,40,16,1,0,41,0,1,5.4,2.2,3.3,9,7.6,0
15,8.8,2.8,2.7,0.0,0.0,0.8,20,0,24,40,55,175800,20,0,13,32,17,2,1,57,0,1,1.7,0.0,0.3,8,3.9,0
13,2.1,3.1,3.0,0.0,0.1,0.8,13,0,34,9,288,195300,15,1,16,19,135,0,0,34,0,1,2.5,0.0,2.4,3,8.200000000000001,0
17,3.3,8.5,8.4,0.0,0.7,1.6,17,0,44,23,26,135500,15,0,27,12,136,0,1,49,1,0,4.2,0.2,6.0,3,4.5,0
29,13.7,7.3,7.2,0.0,0.8,0.8,20,1,29,37,162,115300,13,1,35,24,195,1,0,46,0,1,6.4,0.3,4.1,5,4.8,0
12,1.9,4.6,4.5,0.0,0.7,1.6,15,1,39,6,200,55400,13,1,46,17,196,1,0,61,0,1,2.7,0.4,2.1,4,1.2000000000000002,0
24,12.2,3.4,3.3,0.0,0.6,0.8,18,0,23,20,35,35300,11,0,2,29,256,2,1,58,1,0,3.1,0.4,1.1,7,1.5000000000000004,0
28,13.5,8.8,8.7,0.0,2.1,1.6,12,0,34,34,74,174400,11,1,13,22,257,2,0,73,0,0,5.9,0.0,2.3,6,7.399999999999999,0
19,10.7,7.6,7.5,0.0,2.1,0.8,15,1,18,3,209,154200,18,1,20,34,16,0,1,70,1,1,7.5,0.2,6.4,8,7.700000000000001,0
23,12.0,5.0,4.9,0.0,1.5,1.6,20,1,28,17,248,94300,19,0,32,27,17,0,0,85,1,1,3.7,0.5,3.6,8,4.0,0
13,9.2,3.8,3.7,0.0,1.3,1.6,13,0,13,31,83,74200,16,1,39,39,77,1,1,82,0,1,1.4,0.6,2.4,0,4.3,0
25,6.5,2.6,2.5,0.0,0.9,0.8,16,1,48,45,219,54000,14,1,46,7,137,2,0,78,0,0,1.6,0.5,1.4,2,4.6,0
29,7.8,8.0,7.9,0.0,3.5,1.6,11,1,7,14,257,193100,14,0,6,44,138,2,0,28,0,0,3.9,2.7,4.1,2,0.9000000000000004,0
12,9.0,5.3,5.2,0.0,2.5,0.8,15,1,18,28,296,133300,15,1,17,37,139,0,1,44,0,0,4.6,0.0,4.9,1,6.9,0
18,11.4,7.1,7.0,2.4,0.0,1.6,16,1,1,42,26,192500,17,0,16,43,15,1,0,67,1,1,5.6,0.0,5.6,9,5.5,0
19,4.8,8.3,8.2,0.0,0.9,1.6,16,1,48,25,5,33100,20,1,43,9,259,1,0,52,1,0,2.6,0.4,4.0,5,3.799999999999999,0
30,2.0,7.1,7.0,0.0,1.0,1.6,19,0,32,39,141,12900,18,0,50,22,18,2,1,48,0,0,4.9,0.5,2.5,7,4.1,0
24,7.2,2.0,1.9,0.1,0.0,1.6,17,1,31,39,35,92300,12,0,42,16,136,0,1,75,0,0,0.3,0.0,0.5,3,2.5,0
25,13.7,3.3,3.2,0.0,0.7,1.6,17,1,27,22,15,131900,15,1,17,27,79,0,1,60,0,1,2.5,0.6,2.7,9,0.7000000000000002,0
16,10.9,2.1,2.0,0.0,0.5,0.8,20,0,11,36,151,111700,13,0,24,39,139,1,0,56,1,0,0.6,0.0,1.4,1,1.0,0
27,8.2,9.0,8.9,0.0,2.6,1.6,14,0,46,5,286,91500,11,1,32,6,198,2,0,53,0,1,5.9,0.3,5.8,3,1.3000000000000007,0
18,5.4,7.8,7.7,0.0,2.5,0.8,17,1,31,18,122,71400,18,1,39,18,258,2,1,49,1,1,7.4,0.6,4.2,6,1.6000000000000003,0
22,6.7,5.1,5.0,0.0,1.9,1.6,11,0,41,32,160,11500,18,0,50,11,259,0,0,65,1,1,3.7,0.9,2.5,5,7.6,0
13,4.0,3.9,3.8,0.0,1.6,1.6,14,0,25,1,296,190300,16,1,6,23,18,1,1,61,1,0,3.8,0.9,3.5,7,7.9,0
24,1.2,2.7,2.6,0.0,1.1,0.8,18,1,10,15,131,170200,14,1,13,36,78,1,0,57,0,1,1.7,0.7,2.1,0,8.2,0
15,11.6,9.6,9.5,0.0,4.7,1.6,11,0,45,29,267,150000,11,0,20,3,138,2,1,53,1,0,8.6,3.9,7.5,2,8.500000000000002,0
26,8.8,8.4,8.3,0.0,0.2,0.8,14,0,30,43,102,129900,19,1,27,15,197,0,0,50,0,0,2.0,0.1,3.6,4,8.799999999999999,0
17,6.1,7.2,7.1,2.4,0.0,1.6,18,1,14,12,238,109700,16,0,35,27,257,1,1,46,1,1,5.4,0.0,3.6,7,9.1,0
21,7.3,4.5,4.4,0.0,0.5,0.8,12,0,24,26,276,49800,17,0,46,20,258,1,0,62,0,1,1.6,0.1,0.9,6,5.4,0
12,4.6,3.3,3.2,0.0,0.4,1.6,15,0,9,40,112,29700,14,1,2,32,17,2,1,58,1,0,2.4,0.1,2.7,8,5.7,0
16,5.9,8.7,8.6,0.0,1.6,1.6,20,1,19,9,150,168800,14,0,13,25,18,2,1,74,1,0,4.0,0.9,6.5,8,2.0,0
28,3.1,7.6,7.5,0.0,1.7,0.8,13,1,3,23,286,148600,12,0,20,37,78,0,0,70,0,1,6.1,1.2,4.8,0,2.3000000000000007,0
15,5.6,2.2,2.1,0.0,0.6,0.8,12,0,24,6,63,28900,13,0,43,23,80,0,0,36,1,1,0.6,0.0,1.0,9,4.6,0
26,2.9,9.1,9.0,0.0,3.2,1.6,15,1,8,20,198,8700,20,1,50,35,140,1,1,32,0,1,5.9,0.8,3.5,1,4.9,0
17,13.2,7.9,7.8,0.0,3.0,0.8,18,0,44,34,34,187500,18,1,6,2,199,2,0,28,1,0,7.2,1.2,6.8,3,5.199999999999999,0
29,10.5,6.7,6.6,0.0,2.8,1.6,12,0,28,3,170,167400,15,0,13,15,259,0,1,90,0,1,3.9,1.4,5.2,6,5.499999999999999,0
19,7.8,5.5,5.4,0.0,2.5,1.6,15,1,12,17,5,147200,13,1,20,27,18,0,0,87,0,0,4.5,1.6,3.8,8,5.800000000000001,0
10,5.0,4.3,4.2,0.0,0.0,0.8,18,0,48,31,141,127100,11,1,27,39,78,1,1,83,1,0,0.4,0.0,1.2,0,6.1000000000000005,0
22,2.3,3.1,3.0,0.6,0.0,1.6,12,1,32,45,276,106900,18,0,35,6,137,2,0,79,0,1,1.8,0.0,0.9,3,6.4,0
26,3.5,8.5,8.4,0.0,0.7,0.8,16,1,43,14,15,47000,18,1,46,44,139,2,0,29,0,1,1.9,0.0,7.7,2,2.6999999999999997,0
16,13.9,7.3,7.2,0.0,0.9,1.6,19,0,27,28,150,26900,16,0,2,11,198,0,1,25,1,0,4.5,0.1,5.5,4,3.000000000000001,0
28,11.1,6.1,6.0,2.5,0.0,0.8,12,0,11,42,286,6700,14,0,9,24,258,1,0,87,1,1,6.0,0.0,4.4,7,3.3000000000000007,0
19,8.4,4.9,4.8,0.1,0.0,1.6,16,1,47,11,122,185500,11,1,16,36,17,1,1,84,0,0,1.9,0.0,1.9,9,3.6,0
19,1.8,6.2,6.1,0.0,1.8,0.8,15,1,42,39,101,26100,14,0,43,2,261,2,1,69,0,1,5.9,1.7,2.2,5,1.8999999999999997,0
10,12.2,5.0,4.9,0.0,1.6,1.6,19,0,27,8,237,5900,12,1,50,14,20,2,1,65,1,1,2.7,0.1,4.3,7,2.2,0
21,9.4,3.8,3.7,0.0,1.3,0.8,12,1,11,22,72,184700,20,0,6,27,80,0,0,61,0,0,3.1,0.2,2.8,9,2.5,0
12,6.7,2.6,2.5,0.0,0.9,1.6,15,0,46,36,208,164600,17,0,13,39,139,1,1,57,1,1,1.1,0.2,1.7,2,2.8000000000000003,0
24,4.0,9.5,9.4,0.0,4.1,0.8,19,0,31,5,43,144400,15,1,20,6,199,2,0,54,0,0,7.2,1.8,5.8,4,3.1,0
11,6.5,4.1,4.0,0.0,0.1,0.8,17,1,0,33,120,24700,15,1,43,37,201,2,0,85,1,0,3.6,0.0,3.7,3,5.4,0
23,3.7,2.9,2.8,0.0,0.2,0.8,11,0,36,2,256,4500,13,1,50,4,261,0,1,82,0,0,0.9,0.1,2.1,5,5.699999999999999,0
13,1.0,9.8,9.7,0.0,1.0,1.6,14,0,20,16,91,183300,11,0,6,16,20,1,0,78,1,1,7.1,0.1,6.3,7,6.0,0
25,11.3,8.6,8.5,0.0,1.2,0.8,17,1,4,30,227,163200,18,1,13,28,80,2,1,74,0,0,2.0,0.2,4.4,0,6.300000000000001,0
29,12.6,6.0,5.9,0.0,1.1,1.6,12,1,15,44,265,103300,18,1,24,21,81,2,1,90,1,0,4.8,0.4,2.5,9,2.6,0
20,9.9,4.8,4.7,0.0,1.0,0.8,15,0,50,12,101,83100,16,0,31,33,140,0,0,86,0,1,1.6,0.5,1.4,1,2.9000000000000004,0
24,11.1,2.1,2.0,0.0,0.5,1.6,19,1,9,26,139,23300,16,1,43,26,141,0,1,36,0,1,1.8,0.3,1.7,1,8.8,0
14,8.4,9.0,8.9,0.0,2.7,0.8,12,1,45,40,275,3100,14,0,50,38,201,1,0,32,1,1,4.1,2.3,7.1,3,9.1,0
29,13.5,3.9,3.8,0.4,0.0,1.6,20,0,44,40,169,82500,18,0,42,32,18,2,0,59,1,1,3.0,0.0,2.6,9,7.5,0
30,6.9,5.1,5.0,0.0,1.9,1.6,20,0,39,23,149,122100,12,1,17,43,262,2,0,44,1,0,2.8,0.4,3.1,5,5.800000000000001,0
28,13.2,5.4,5.3,0.0,2.2,0.8,12,0,49,37,82,141600,17,0,20,30,80,0,1,87,1,0,3.6,0.5,2.8,0,0.5,0
11,1.4,2.7,2.6,0.0,1.2,1.6,17,0,8,6,120,81700,17,0,31,23,81,0,0,37,1,0,1.3,0.5,1.4,9,6.4,0
23,11.8,9.6,9.5,0.0,0.0,0.8,20,1,44,20,256,61600,14,1,39,35,140,1,1,33,0,0,4.9,0.0,7.7,1,6.700000000000001,0
14,9.0,8.4,8.3,0.0,0.3,1.6,13,1,28,34,91,41400,12,0,46,2,200,2,0,29,0,1,7.8,0.2,5.4,4,7.0,0
25,6.3,7.2,7.1,0.4,0.0,0.8,17,0,12,3,227,21300,20,1,2,15,260,0,1,25,1,0,2.7,0.0,3.5,6,7.3,0
16,3.5,6.0,5.9,1.0,0.0,0.8,20,1,48,17,63,1100,17,1,9,27,19,0,0,88,0,1,4.7,0.0,2.4,8,7.6,0
20,4.8,3.4,3.3,0.0,0.5,1.6,14,1,7,31,101,140200,17,0,20,20,20,1,0,37,0,1,1.6,0.0,0.9,8,3.9,0
11,2.0,2.2,2.1,0.5,0.0,0.8,18,0,42,45,237,120100,15,1,27,32,80,1,1,34,1,1,1.8,0.0,1.8,0,4.2,0
15,3.3,7.6,7.5,0.0,1.8,1.6,12,0,2,14,275,60200,15,1,39,25,81,2,0,50,0,1,4.4,0.8,6.0,9,0.5,0
19,4.6,4.9,4.8,0.0,1.3,0.8,16,1,12,28,13,199300,16,0,50,17,82,2,1,65,0,1,1.7,0.8,3.3,9,6.5,0
30,1.8,3.7,3.6,0.0,1.1,1.6,20,1,47,42,149,179100,13,1,6,30,141,0,0,62,1,0,2.4,0.8,2.1,1,6.8,0
21,12.2,2.5,2.4,0.0,0.8,0.8,13,0,32,11,284,159000,11,0,13,42,201,1,1,58,0,1,2.3,0.7,1.2,3,7.1,0
25,13.4,7.9,7.8,0.0,3.1,0.8,17,0,42,25,23,99100,11,0,24,35,202,1,1,74,1,1,5.9,0.4,3.5,3,3.4000000000000004,0
23,6.7,8.2,8.1,1.6,0.0,1.6,19,0,0,39,256,118700,16,1,27,21,20,2,1,50,1,0,6.5,0.0,7.0,8,7.700000000000001,0
10,9.2,2.8,2.7,0.0,0.0,1.6,18,0,21,22,32,197900,17,0,50,7,22,0,0,82,1,0,0.1,0.0,1.4,7,9.9,0
26,1.2,5.8,5.7,2.4,0.0,1.6,16,1,20,22,227,78300,11,0,42,1,139,0,0,43,1,0,4.3,0.0,4.0,3,8.3,0
26,7.7,7.1,7.0,0.0,0.7,1.6,16,1,16,5,206,117900,14,0,17,12,83,1,0,28,1,1,1.4,0.6,1.9,8,6.6,0
20,12.8,10.0,9.9,0.3,0.0,1.6,14,0,15,5,101,197300,19,0,9,6,200,2,0,55,1,1,6.4,0.0,1.7,4,4.9,0
11,10.1,8.8,8.7,1.3,0.0,1.6,17,1,50,19,236,177100,16,0,16,18,259,2,1,51,0,0,1.5,0.0,8.1,7,5.199999999999999,0
