íÁëÃâÑí∑,íÁëÃïù,ç∂âEï«ëÃçÇÇ≥,íÜãlìyìVí[çÇÇ≥,íÁäOãÊä‘ínï\ñ ,íÁì‡ãÊä‘ínï\ñ ,à¯í£çﬁä‘äu,ç›óàínî’èdó ,ç›óàínî’ãÊï™,ç›óàínî’Níl,ç›óàínî’ñÄéCäp,ç›óàínî’îSíÖóÕ,ç›óàínî’ïœå`åWêî,íÜãlÇﬂèdó ,íÜãlÇﬂãÊï™,íÜãlÇﬂNíl,íÜãlÇﬂñÄéCäp,íÜãlÇﬂîSíÖóÕ,ñÓî¬å^,ñÓî¬çﬁóø,à¯í£çﬁíºåa,à¯í£çﬁçﬁóøî‘çÜ,ï†ãNÇµçﬁéø,íÁäOë§êÖà _èÌéû,íÁì‡ë§êÖà _èÌéû,ÇπÇÒífïœå`îjâÛ,ääìÆÅAéxéùóÕ,ç™ì¸ÇÍïîÇÃà¿íË,é’êÖå¯â ,ñÓî¬ÇÃëœóÕè∆ç∏,É^ÉCÉçÉbÉhÇÃëœóÕè∆ç∏,ï†ãNÇµÇÃëœóÕè∆ç∏,ñÓî¬ÇÃëSí∑,à¯í£çﬁà íu,ï†ãNÇµî‘çÜ,ç™ì¸ÇÍê[Ç≥,ÇπÇÒífïœå`îjâÛ_label,ääìÆÅAéxéùóÕ_label,ç™ì¸ÇÍïîÇÃà¿íË_label,é’êÖå¯â _label,ñÓî¬ÇÃëœóÕè∆ç∏_label,É^ÉCÉçÉbÉhÇÃëœóÕè∆ç∏_label,ï†ãNÇµÇÃëœóÕè∆ç∏_label
19,6.1,5,4.9,0,1.7,1.6,15,1,46,15,194,77800,19,1,46,4,250,0,390,60,1,1,3.2,0.4,0.001200012,0.040983607,0.017301038,0.364583333,0,0,0,8.3,3.2,7,3.3,0,0,0,0,0,0,0
23,7.4,2.3,2.2,0.2,0,1.6,19,1,5,29,232,17900,19,0,6,42,251,0,295,76,1,1,0.4,0,0.001200012,0.005831471,0.00100001,0.053435115,0.011111111,0,0,11.6,0.9,6,9.3,0,0,0,0,0,0,0
13,4.6,9.2,9.1,0,4.1,0.8,12,0,41,43,68,196800,17,0,13,9,11,1,390,72,1,0,6.7,2.3,0.001200012,0.101095198,0.066703724,0.326188257,0.123404255,0.196078431,0.042857143,18.8,4.9,9,9.6,0,0,0,0,0,0,0
17,5.9,6.5,6.4,1.4,0,1.6,16,0,0,12,106,136900,17,1,25,2,12,1,295,88,1,0,2.2,0,0.028605483,0.10978957,0.111008326,0.403225806,0.511111111,0.117647059,0.085714286,12.4,6,8,5.9,0,0,0,0,0,0,0
29,3.2,5.4,5.3,0,0.1,0.8,20,1,35,26,242,116700,14,0,32,14,72,2,295,84,0,1,3.1,0,0.054372451,0.036220948,0.00100001,0.669216061,0.022222222,0,0.005405405,11.6,4,0,6.2,0,0,0,0,0,0,0
12,4.4,2.7,2.6,0.8,0,1.6,14,1,46,40,280,56900,15,1,43,7,73,2,390,34,0,1,1.2,0,0.002592017,0.008008008,0.00100001,0.411764706,0.008510638,0.031914894,0.010810811,5.2,1.8,0,2.5,0,0,0,0,0,0,0
27,9.5,5.6,5.5,0,0.3,1.6,12,0,45,40,174,136300,19,1,35,1,190,0,295,61,0,0,4.2,0.2,0.020902282,0.046029919,0.047355959,1.178451178,0.061111111,0.034883721,0.014285714,6.5,3.3,5,0.9,0,0,0,2,0,0,0
22,8,9.9,9.8,0,1.4,1.6,20,1,40,23,48,56200,17,0,2,6,250,1,390,73,0,1,8.2,0.3,0.150187735,0.274599542,0.144092219,1.008645533,0.080851064,0.139534884,0.048648649,17,3.4,7,7.1,0,0,0,2,0,0,0
26,9.3,7.2,7.1,0,1.3,1.6,14,0,50,37,87,195400,17,1,13,44,251,2,295,89,0,1,4,0.6,0.001200012,0.065897858,0.047865975,0.543478261,0.011111111,0.023255814,0.016216216,10.6,1.8,7,3.4,0,0,0,0,0,0,0
17,6.5,6,5.9,0,1.3,0.8,17,0,34,6,222,175200,15,1,20,11,11,2,390,85,1,0,5.3,0.7,0.001200012,0.090022506,0.070011669,0.921052632,0.068085106,0.019607843,0.007142857,9.7,5.2,9,3.7,0,0,0,1,0,0,0
21,7.8,3.3,3.2,0,0.8,1.6,12,1,45,20,261,115300,15,0,32,4,12,0,295,35,1,0,2.1,0.6,0.001200012,0.015096239,0.00100001,0.162488394,0.016666667,0.036363636,0.007142857,13,2.4,8,9.7,0,0,0,0,0,0,0
25,9.1,8.7,8.6,2.3,0,0.8,16,1,4,34,299,55500,16,1,43,42,13,0,390,50,0,0,3.4,0,0.022140221,0.023396374,0.00100001,0.50872093,0.153191489,0.058139535,0.007142857,14.7,5.7,8,6,0,0,0,0,0,0,0
15,6.3,7.5,7.4,2.8,0,1.6,19,0,39,2,135,35300,13,0,50,9,73,1,295,47,1,0,5.5,0,0.209059233,0.210896309,0.115830116,0.886075949,0.138888889,0.107843137,0.1,13.8,4.5,0,6.3,0,0,0,1,0,0,0
10,11.4,2.4,2.3,0,0.8,1.6,17,1,38,2,29,114700,18,0,42,3,190,1,295,74,1,0,0.9,0.7,0.001200012,0.233463035,0.021285653,0.016203704,0,0,0,7.1,1.3,6,4.7,0,0,0,0,0,0,0
14,12.7,7.8,7.7,0,2.8,0.8,12,1,49,16,67,54800,18,0,2,41,191,2,390,89,1,0,6.5,0.4,0.001200012,0.15483871,0.134770889,0.739957717,0.012765957,0.009803922,0,8.8,3.7,5,1,0,0,0,0,0,0,0
18,13.9,5.1,5,0,2.1,1.6,16,1,8,30,106,194000,18,1,13,33,192,2,390,39,1,0,3.3,0.8,0.001200012,0.032240731,0.015791136,0.140958518,0,0,0,12,4.7,4,6.9,0,0,0,0,0,0,0
22,2.1,2.4,2.3,0.2,0,0.8,20,0,18,44,144,134100,19,0,25,26,193,0,295,55,0,0,0.3,0,0.001200012,0.00414694,0.00100001,0.120689655,0,0,0,5.6,1.8,4,3.2,0,0,0,0,0,0,0
11,5.7,9.6,9.5,0,0.3,1.6,16,1,12,27,213,133500,11,1,35,25,71,1,295,28,1,0,6.1,0.2,0.229007634,0.082361016,0.027782923,0.940860215,0.1,0.263636364,0.071428571,17.4,4.3,1,7.8,0,0,0,1,0,0,0
22,3,8.5,8.4,0,0.6,0.8,19,0,48,41,48,113300,19,0,42,37,130,2,390,90,0,1,0.8,0.5,0.001200012,0.017089148,0.00100001,0.035353535,0,0,0,16.6,2.7,4,8.1,0,0,0,0,0,0,0
29,11.8,3.4,3.3,0,0.6,1.6,20,0,27,38,58,13100,14,0,16,10,250,1,295,33,1,1,2,0.1,0.001200012,0.038548024,0.028402367,0.21875,0.016666667,0.045454545,0.005405405,8.4,2.4,8,5,0,0,0,0,0,0,0
23,10.3,7.6,7.5,0,2,0.8,18,1,21,21,232,132100,12,1,35,15,11,2,295,45,0,1,5.1,1.3,0.001200012,0.038240918,0.038880249,0.691699605,0.055555556,0.162790698,0.010810811,9.3,4,9,1.7,0,0,0,0,0,0,0
14,7.6,6.4,6.3,0,1.9,1.6,11,0,6,35,67,111900,20,0,42,27,70,0,295,41,1,0,6.3,1.4,0.001200012,0.165061898,0.105448155,1.140065147,0.027777778,0.215686275,0.107142857,8.4,2.8,2,2,0,0,0,2,0,0,0
15,1,7.6,7.5,2.7,0,1.6,11,0,1,18,47,151500,13,0,17,38,14,0,295,26,1,1,5.2,0,1.290322581,0.540540541,0.240480962,0.78125,0.127777778,0.109090909,0.005405405,17.4,6.7,7,9.8,3,0,0,0,0,0,0
21,9.9,2.6,2.5,0.1,0,0.8,12,0,31,15,56,51300,18,0,43,10,134,2,390,34,0,1,2.5,0,0.016038492,0.138248848,0.094413847,0.370762712,0.017021277,0.106382979,0.016216216,9.4,0.9,1,6.8,0,0,0,0,0,0,0
19,3.2,2.9,2.8,0,0.1,0.8,14,1,41,29,289,70800,13,0,46,42,252,0,295,77,0,0,0.5,0,0.001200012,0.004944172,0.00100001,0.222222222,0,0,0,4.4,0.6,7,1.5,0,0,0,0,0,0,0
10,13.5,9.8,9.7,0,0.9,1.6,17,0,25,43,125,50600,11,1,2,9,12,1,390,73,1,1,5.9,0.7,0.048367594,0.070880095,0.141176471,0.972222222,0.49787234,0.147058824,0.054054054,11.6,9,9,1.8,0,0,0,1,0,0,0
21,10.8,8.6,8.5,0,1,0.8,11,1,9,12,260,30500,18,0,9,22,71,2,295,69,0,0,8.4,0,0.142180095,0.114068441,0.080299786,1.62037037,0.188888889,0.046511628,0.028571429,10.7,6.6,1,2.1,0,0,0,3,0,0,0
23,5.1,7.7,7.6,0,2.5,0.8,19,1,34,37,144,49200,12,1,2,44,252,1,295,90,0,0,5.1,1.9,0.001200012,0.041608877,0.00100001,0.505780347,0.027777778,0,0,12.9,6.8,7,5.2,0,0,0,0,0,0,0
24,12.4,6.9,6.8,0,0.2,1.6,18,0,8,17,28,68000,15,1,46,21,133,1,295,44,0,0,0.5,0.1,0.001200012,0.170697013,0.283018868,0.035714286,0.005555556,0,0,15.3,6.5,3,8.4,0,0,0,0,0,0,0
28,13.7,4.2,4.1,0,0.3,0.8,12,1,18,31,66,8100,15,0,6,14,134,2,390,60,1,0,3,0.2,0.010199745,0.065825562,0.04178273,0.403690888,0.055319149,0.029411765,0.014285714,8.9,3.3,2,4.7,0,0,0,0,0,0,0
18,11,3,2.9,0,0.3,0.8,15,1,3,45,202,187000,13,0,13,26,194,2,295,56,0,1,0.5,0.2,0.001200012,0.001740064,0.00100001,0.03286385,0,0,0,8,1.9,4,5,0,0,0,0,0,0,0
13,9.5,7.2,7.1,0,1.4,0.8,13,0,48,27,76,106900,11,0,32,31,254,1,295,68,1,0,2.3,0.3,0.001200012,0.038797284,0.036308623,0.223356733,0,0,0,8.8,3.1,6,1.6,0,0,0,0,0,0,0
25,6.7,6,5.9,0,1.3,1.6,16,1,33,41,211,86800,18,0,39,43,14,1,390,64,1,0,4,0.4,0.001200012,0.030112923,0.015646188,0.800915332,0.021276596,0.049019608,0.021428571,7.9,1.9,8,1.9,0,0,0,1,0,0,0
15,4,4.8,4.7,0,1.2,0.8,20,0,17,10,47,66600,16,1,46,11,73,2,295,61,0,1,4.7,0.5,0.091813313,0.330578512,0.178571429,1.277372263,0.033333333,0.011627907,0.005405405,7,4.2,1,2.2,0,0,0,3,0,0,0
27,1.2,3.6,3.5,0,1,1.6,13,1,1,24,182,46500,13,0,2,23,133,0,390,57,1,0,2,0.5,0.001200012,0.024575056,0.00100001,0.472972973,0.008510638,0,0,6.2,2.7,3,2.6,0,0,0,0,0,0,0
10,2.5,9,8.9,0,3,0.8,17,1,12,38,221,185600,14,1,13,16,134,0,390,73,1,0,3.2,2.3,0.001200012,0.007270965,0.00100001,0.031111111,0,0,0,17.5,6.3,2,8.5,0,0,0,0,0,0,0
14,3.8,6.4,6.3,0,2.5,0.8,11,1,22,7,259,125700,14,1,24,8,135,0,295,89,0,0,5.2,0,0.001200012,0.070134424,0.029268293,0.594227504,0,0,0,11.2,4,2,4.8,0,0,0,0,0,0,0
26,1,5.2,5.1,0,2.2,1.6,15,0,6,21,95,105500,12,0,32,21,195,1,390,85,1,1,2.5,0.2,0.001200012,0.066188638,0.035211268,0.078352362,0,0,0,10.3,2.9,4,5.1,0,0,0,0,0,0,0
30,2.3,2.5,2.4,0,1.1,0.8,19,0,17,35,133,45700,12,1,43,13,196,2,295,35,1,1,2.1,0.3,0.001200012,0.03125814,0.017401392,0.564516129,0,0.009090909,0,3.9,1.3,3,1.4,0,0,0,0,0,0,0
24,7.4,5.5,5.4,0,2.4,0.8,17,1,16,35,27,125100,16,1,35,7,13,2,295,61,1,0,3.2,0.3,0.001200012,0.064412238,0.037859667,0.097902098,0.033333333,0.058823529,0.007142857,14.9,2.6,9,9.4,0,0,0,0,0,0,0
15,4.6,4.3,4.2,0,2,1.6,20,0,0,4,163,104900,14,1,42,20,72,0,390,58,0,1,3.5,0.5,0.001200012,0.071899341,0.039151713,0.201961916,0,0,0,14,3.6,1,9.7,0,0,0,0,0,0,0
15,11.2,5.5,5.4,0,0.5,1.6,20,0,47,32,143,144500,17,1,17,31,16,0,390,43,0,0,1.6,0.3,0.001200012,0.016713092,0.012065152,0.138999206,0.021276596,0.034883721,0.007142857,13.5,3,7,8,0,0,0,0,0,0,0
27,8.4,4.3,4.2,0,0.5,0.8,13,1,31,1,278,124300,15,0,24,43,75,1,295,39,1,1,2.9,0.4,0.001200012,0.037243948,0.00100001,0.32925682,0.016666667,0.036363636,0.005405405,12.6,1.8,0,8.3,0,0,0,0,0,0,0
21,13.5,7.3,7.2,0,0.8,0.8,11,0,30,1,173,4700,19,0,16,37,193,2,295,66,0,1,1.8,0.5,0.001200012,0.161507402,0.021691974,0.127272727,0.027777778,0.011627907,0,13.9,2.7,5,6.6,0,0,0,0,0,0,0
22,6.9,8.5,8.4,0,1.8,1.6,11,0,26,29,152,44300,13,1,43,3,136,2,390,51,0,0,6.5,0.4,0.001200012,0.119402985,0.065252855,0.888324873,0.025531915,0.023255814,0.014285714,13.4,8.1,1,4.9,0,0,0,1,0,0,0
16,12,3.4,3.3,0,0.6,1.6,19,1,25,29,47,123700,17,1,35,42,253,0,295,78,0,1,1.2,0,0.001200012,0.024321038,0.017164435,0.109375,0,0,0,6.7,2.9,7,3.3,0,0,0,0,0,0,0
20,13.3,8.8,8.7,0,2.1,0.8,13,1,35,43,85,63800,18,0,46,35,254,0,295,28,0,1,7.9,0.5,0.001200012,0.106951872,0.0479693,0.600343053,0.077777778,0.042553191,0,18,7.1,6,9.2,0,0,0,0,0,0,0
10,10.5,7.6,7.5,0,2.1,1.6,17,0,20,12,221,43700,15,0,2,2,14,1,390,90,1,0,3.6,0.8,0.001200012,0.049059689,0.037014189,0.166112957,0.2,0.117647059,0.085714286,17.1,5.2,9,9.5,0,0,0,0,0,0,0
15,11.8,4.9,4.8,0,1.5,0.8,11,0,30,26,259,182800,16,1,13,40,15,1,295,40,0,0,4.6,0.9,0.001200012,0.039538715,0.026126715,0.435865504,0.016666667,0.034883721,0,10.7,2.9,8,5.8,0,0,0,0,0,0,0
26,9.1,3.7,3.6,0,1.2,1.6,14,1,14,40,95,162600,13,0,20,7,74,2,390,36,1,1,2,0.8,0.001200012,0.017572119,0.00100001,0.124422325,0,0.018181818,0.005405405,9.8,1.8,0,6.1,0,0,0,0,0,0,0
30,10.3,9.2,9.1,0,3.7,0.8,19,1,25,9,133,102700,13,1,32,45,75,0,295,52,1,1,9.1,3.4,0.001200012,0.150943396,0.045289855,1.005747126,0.077777778,0.156862745,0.064864865,11.6,4.3,0,2.4,0,0,0,2,0,0,0
13,11.6,6.5,6.4,0,2.8,1.6,13,0,35,23,171,42900,14,1,43,38,76,0,390,68,0,1,5.1,0.3,0.001200012,0.069364162,0.044198895,0.259643917,0.008510638,0,0,14.8,5.9,9,8.3,0,0,0,0,0,0,0
28,3.6,9.5,9.4,0,4,0.8,11,1,34,23,66,122300,18,1,35,31,193,1,390,29,1,0,4.8,3.8,0.001200012,0.120967742,0.00100001,0.133333333,0.004255319,0,0,16.2,8.5,5,6.7,0,0,0,0,0,0,0
12,4.8,6.8,6.7,0,3.2,1.6,15,1,44,37,104,62400,19,0,46,24,194,1,295,44,0,0,6.1,0.5,0.001200012,0.084865629,0.038709677,0.724637681,0.016666667,0,0,9.8,5.6,4,3,0,0,0,0,0,0,0
20,7.3,9.5,9.4,0,0.6,1.6,14,1,14,20,181,141700,19,1,17,10,196,2,390,76,0,0,1.6,0.3,0.001200012,0.071301248,0.00100001,0.189189189,0.004255319,0,0,14.8,4,3,5.3,0,0,0,0,0,0,0
14,12.4,4.4,4.3,0,0.2,1.6,12,0,13,20,75,22100,14,1,9,4,14,2,295,37,0,0,2.8,0,0.033679484,0.082758621,0.083333333,0.459317585,0.05,0.35106383,0.035714286,8,1.6,9,3.6,0,0,0,0,0,0,0
25,9.7,3.2,3.1,0,0.2,0.8,15,1,48,34,211,1900,11,0,16,16,73,0,295,33,1,1,0.3,0.1,0.001200012,0.003782387,0.00100001,0.019553073,0,0,0,7.2,0.7,1,4,0,0,0,0,0,0,0
30,11,8.6,8.5,0,1.1,1.6,19,1,8,3,249,141100,12,1,27,9,74,1,390,49,1,1,6.2,0.8,0.021052632,0.076579451,0.033348155,0.56,0.05106383,0.029411765,0.016216216,18.5,8.2,1,9.9,0,0,0,0,0,0,0
20,8.2,7.4,7.3,0,1.2,0.8,13,0,43,17,85,120900,19,1,35,21,134,1,295,45,1,1,1.8,1,0.001200012,0.040788579,0.00100001,0.182863114,0.005555556,0.010638298,0,8,5.9,3,0.6,0,0,0,0,0,0,0
11,5.5,6.2,6.1,0,1.2,0.8,16,1,27,31,221,100700,17,0,42,33,193,2,390,41,0,0,3.7,1.1,0.001200012,0.030120482,0.022039377,1.029411765,0.017021277,0.023255814,0,7.1,4.1,5,0.9,0,0,0,2,0,0,0
15,6.7,3.5,3.4,0,0.8,1.6,20,1,38,45,259,40900,17,1,2,26,194,2,295,57,0,0,1.2,0.1,0.001200012,0.005414429,0.00100001,0.066350711,0,0,0,10.3,2,5,6.8,0,0,0,0,0,0,0
27,4,2.3,2.2,0,0.6,0.8,14,0,22,14,94,20700,15,0,9,38,254,0,390,54,1,1,1.5,0.1,0.001200012,0.052310375,0.029747149,0.16754428,0.012765957,0.009803922,0,9.4,1.1,7,7.1,0,0,0,0,0,0,0
14,6.5,5.1,5,0,1.9,0.8,12,1,43,42,171,99900,15,1,32,24,256,1,295,85,0,1,4.7,1.3,0.001200012,0.036798528,0.00100001,0.360453141,0.022222222,0,0,14.5,4.6,6,9.4,0,0,0,0,0,0,0
18,7.8,2.4,2.3,0,1,1.6,17,1,2,11,210,40100,16,0,43,17,257,1,390,35,0,1,1.7,0.9,0.001200012,0.01476378,0.00100001,0.121275121,0.004255319,0.021276596,0,8.1,1.8,5,5.7,0,0,0,0,0,0,0
22,9.9,5.7,5.6,0,0.4,0.8,20,0,42,21,152,158400,16,1,20,21,195,1,390,86,1,0,1.2,0.1,0.001200012,0.033176666,0.00100001,0.116163292,0.004255319,0,0,12.6,0.7,4,6.9,0,0,0,0,0,0,0
10,12.4,8.4,8.3,0,1.3,0.8,18,1,11,4,229,38700,16,0,43,6,197,2,390,51,0,0,4.6,1,0.001200012,0.086517664,0.024139041,0.361944157,0.029787234,0.011627907,0.007142857,17.5,6.1,3,9.1,0,0,0,0,0,0,0
25,4.4,3.3,3.2,0,0.4,0.8,16,1,10,4,123,118100,11,0,35,45,15,0,390,78,1,1,3.2,0.2,0.068181818,0.091603053,0.031453135,0.495049505,0.021276596,0.009803922,0,10.8,2.1,9,7.5,0,0,0,0,0,0,0
15,1.7,2.1,2,0,0.3,1.6,20,0,46,18,259,97900,18,1,42,12,74,0,295,75,0,0,1,0.2,0.001200012,0.011667477,0.00100001,0.139220366,0.005555556,0,0.007142857,9.9,1.1,1,7.8,0,0,0,0,0,0,0
23,4.2,4.8,4.7,0,1.3,1.6,18,1,15,1,36,177200,19,0,13,43,76,1,390,40,1,0,3.7,0.2,0.023282887,0.431654676,0.197628458,1.291512915,0.004255319,0.029411765,0.021428571,5.3,1.9,0,0.5,0,0,0,3,0,0,0
14,1.4,3.6,3.5,0,1.1,1.6,12,0,0,15,171,157000,17,1,20,10,136,2,295,36,0,1,1.3,0.3,0.001200012,0.032804811,0.00100001,0.170731707,0,0,0,4.4,3.2,2,0.8,0,0,0,0,0,0,0
26,11.8,2.5,2.4,0,0.8,0.8,15,0,35,29,7,136900,14,0,27,22,195,0,390,33,1,1,1.6,0.3,0.001200012,0.086145011,0.157068063,0.189189189,0,0,0,3.6,1.9,5,1.1,0,0,0,0,0,0,0
30,13.1,7.9,7.8,0,3,1.6,19,1,45,43,45,77000,15,0,39,15,196,0,295,49,0,1,3.8,1.9,0.001200012,0.024824162,0.00100001,0.093010896,0.005555556,0,0,14.9,5.8,4,7,0,0,0,0,0,0,0
20,10.3,6.7,6.6,0,2.8,0.8,13,1,30,12,181,56800,12,1,46,27,256,1,390,45,1,0,5,2.1,0.001200012,0.045784052,0.017872036,0.277998411,0.017021277,0.019607843,0,14,4.4,6,7.3,0,0,0,0,0,0,0
11,7.6,5.5,5.4,0,2.5,1.6,16,0,14,26,16,36700,20,0,2,40,16,1,295,41,0,1,5.4,2.2,0.015898251,0.227272727,0.244399185,0.401376147,0.027777778,0.162790698,0.016216216,13.1,3.3,9,7.6,0,0,0,0,0,0,0
15,8.8,2.8,2.7,0,0,0.8,20,0,24,40,55,175800,20,0,13,32,17,2,390,57,0,1,1.7,0,0.007432181,0.040747029,0.029154519,0.358606557,0.004255319,0.023255814,0,6.7,0.3,8,3.9,0,0,0,0,0,0,0
13,2.1,3.1,3,0,0.1,0.8,13,0,34,9,288,195300,15,1,16,19,135,0,295,34,0,1,2.5,0,0.053981107,0.044477391,0.021941854,0.451612903,0.016666667,0.021276596,0,11.3,2.4,3,8.2,0,0,0,0,0,0,0
17,3.3,8.5,8.4,0,0.7,1.6,17,0,44,23,26,135500,15,0,27,12,136,0,390,49,1,0,4.2,0.2,0.001200012,0.029505778,0.00100001,0.075107296,0,0,0,13,6,3,4.5,0,0,0,0,0,0,0
29,13.7,7.3,7.2,0,0.8,0.8,20,1,29,37,162,115300,13,1,35,24,195,1,295,46,0,1,6.4,0.3,0.019150974,0.065970313,0.030612245,0.813953488,0.077777778,0.069767442,0.005405405,12.1,4.1,5,4.8,0,0,0,1,0,0,0
12,1.9,4.6,4.5,0,0.7,1.6,15,1,39,6,200,55400,13,1,46,17,196,1,295,61,0,1,2.7,0.4,0.001200012,0.054029716,0.021626298,1.4,0.016666667,0.023255814,0.010810811,5.8,2.1,4,1.2,0,0,0,3,0,0,0
24,12.2,3.4,3.3,0,0.6,0.8,18,0,23,20,35,35300,11,0,2,29,256,2,390,58,1,0,3.1,0.4,0.007082571,0.128755365,0.132890365,0.553797468,0.008510638,0.029411765,0.007142857,4.9,1.1,7,1.5,0,0,0,0,0,0,0
28,13.5,8.8,8.7,0,2.1,1.6,12,0,34,34,74,174400,11,1,13,22,257,2,295,73,0,0,5.9,0,0.001200012,0.137614679,0.088235294,0.4375,0.011111111,0.034883721,0.021428571,16.2,2.3,6,7.4,0,0,0,0,0,0,0
19,10.7,7.6,7.5,0,2.1,0.8,15,1,18,3,209,154200,18,1,20,34,16,0,390,70,1,1,7.5,0.2,0.001200012,0.119047619,0.058049536,0.670498084,0.05106383,0.009803922,0,15.3,6.4,8,7.7,0,0,0,0,0,0,0
23,12,5,4.9,0,1.5,1.6,20,1,28,17,248,94300,19,0,32,27,17,0,295,85,1,1,3.7,0.5,0.001200012,0.026315789,0.017657446,0.358239509,0.016666667,0,0,9,3.6,8,4,0,0,0,0,0,0,0
13,9.2,3.8,3.7,0,1.3,1.6,13,0,13,31,83,74200,16,1,39,39,77,1,390,82,0,1,1.4,0.6,0.001200012,0.018373909,0.013388374,0.018324607,0,0,0,8.1,2.4,0,4.3,0,0,0,0,0,0,0
25,6.5,2.6,2.5,0,0.9,0.8,16,1,48,45,219,54000,14,1,46,7,137,2,295,78,0,0,1.6,0.5,0.001200012,0.007217177,0.00100001,0.147617039,0.005555556,0,0,7.2,1.4,2,4.6,0,0,0,0,0,0,0
29,7.8,8,7.9,0,3.5,1.6,11,1,7,14,257,193100,14,0,6,44,138,2,295,28,0,0,3.9,2.7,0.001200012,0.034853326,0.00100001,0.106870229,0,0,0,8.9,4.1,2,0.9,0,0,0,0,0,0,0
