,堤体延長,堤体幅,左右壁体高さ,中詰土天端高さ,堤外区間地表面,堤内区間地表面,引張材間隔,在来地盤重量,在来地盤区分,在来地盤N値,在来地盤摩擦角,在来地盤粘着力,在来地盤変形係数,中詰め重量,中詰め区分,中詰めN値,中詰め摩擦角,中詰め粘着力,矢板型,矢板材料,引張材直径,引張材材料番号,腹起し材質,堤外側水位_地震時,堤内側水位_地震時,震度,せん断変形破壊,滑動、支持力,根入れ部の安定,矢板の耐力照査,タイロッドの耐力照査,腹起しの耐力照査
27,11,5.7,9.6,9.5,0.0,0.3,1.6,16,1,12,27,213,133500,11,1,35,25,71,4,295,28,1,0,3.7,0.0,0.1,0.16181229773462785,0.05461496450027308,0.014628794343532854,0.014814814814814815,0.030303030303030304,0.009523809523809525
28,22,3.0,8.5,8.4,0.0,0.6,0.8,19,0,48,41,48,113300,19,0,42,37,130,5,390,90,0,1,3.3,0.0,0.2,0.21008403361344538,0.12562814070351758,0.05920078934385792,0.0056657223796034,0.0,0.0
29,29,11.8,3.4,3.3,0.0,0.6,1.6,20,0,27,38,58,13100,14,0,16,10,250,4,295,33,1,1,3.0,0.4,0.3,0.07204610951008646,0.2079002079002079,0.05434782608695653,0.022222222222222223,0.06666666666666667,0.007142857142857143
30,23,10.3,7.6,7.5,0.0,2.0,0.8,18,1,21,21,232,132100,12,1,35,15,11,5,295,45,0,1,4.3,1.1,0.2,0.001000010000100001,0.08223684210526316,0.08602150537634409,0.06666666666666667,0.20155038759689922,0.010714285714285714
31,14,7.6,6.4,6.3,0.0,1.9,1.6,11,0,6,35,67,111900,20,0,42,27,70,3,295,41,1,0,3.7,0.7,0.4,0.29850746268656714,0.2557544757033248,0.5405405405405405,0.07777777777777778,0.0,0.0
32,15,1.0,7.6,7.5,2.7,0.0,1.6,11,0,1,18,47,151500,13,0,17,38,14,3,295,26,1,1,3.2,0.0,0.4,0.5025125628140703,0.24038461538461536,0.7272727272727273,1.5629629629629629,1.3151515151515152,0.075
33,21,9.9,2.6,2.5,0.1,0.0,0.8,12,0,31,15,56,51300,18,0,43,10,134,5,390,34,0,1,1.6,0.0,0.4,0.09727626459143969,0.2785515320334262,0.0551470588235294,0.0056657223796034,0.028368794326241134,0.0035714285714285713
34,19,3.2,2.9,2.8,0.0,0.1,0.8,14,1,41,29,289,70800,13,0,46,42,252,3,295,77,0,0,0.2,0.0,0.1,0.008710042679209128,0.008384338056510439,0.001000010000100001,0.0,0.0,0.0
35,10,13.5,9.8,9.7,0.0,0.9,1.6,17,0,25,43,125,50600,11,1,2,9,12,4,390,73,1,1,1.1,0.6,0.2,0.4115226337448559,0.08203445447087777,0.1957585644371941,0.4475920679886686,0.1503267973856209,0.05357142857142857
36,21,10.8,8.6,8.5,0.0,1.0,0.8,11,1,9,12,260,30500,18,0,9,22,71,5,295,69,0,0,1.0,0.5,0.4,0.40322580645161293,0.1400560224089636,0.016901408450704224,0.025925925925925925,0.0,0.0
37,23,5.1,7.7,7.6,0.0,2.5,0.8,19,1,34,37,144,49200,12,1,2,44,252,4,295,90,0,0,2.8,0.1,0.4,0.001000010000100001,0.09652509652509653,0.013568521031207599,0.0,0.0,0.0
38,24,12.4,6.9,6.8,0.0,0.2,1.6,18,0,8,17,28,68000,15,1,46,21,133,4,295,44,0,0,1.1,0.1,0.4,0.47619047619047616,0.5208333333333334,0.7228915662650602,0.014814814814814815,0.0,0.0
39,28,13.7,4.2,4.1,0.0,0.3,0.8,12,1,18,31,66,8100,15,0,6,14,134,5,390,60,1,0,3.0,0.1,0.1,0.04764173415912339,0.12210012210012211,0.04067796610169491,0.028328611898016998,0.013071895424836602,0.009523809523809525
40,18,11.0,3.0,2.9,0.0,0.3,0.8,15,1,3,45,202,187000,13,0,13,26,194,5,295,56,0,1,2.1,0.1,0.3,0.04302925989672978,0.058513750731421885,0.001000010000100001,0.003703703703703704,0.007751937984496124,0.0
41,13,9.5,7.2,7.1,0.0,1.4,0.8,13,0,48,27,76,106900,11,0,32,31,254,4,295,68,1,0,2.7,0.2,0.2,0.036036036036036036,0.1557632398753894,0.058997050147492625,0.0,0.0,0.0
42,25,6.7,6.0,5.9,0.0,1.3,1.6,16,1,33,41,211,86800,18,0,39,43,14,4,390,64,1,0,2.3,0.0,0.3,0.001000010000100001,0.07199424046076314,0.0215866162978953,0.019830028328611898,0.0784313725490196,0.02857142857142857
43,15,4.0,4.8,4.7,0.0,1.2,0.8,20,0,17,10,47,66600,16,1,46,11,73,5,295,61,0,1,1.9,1.0,0.5,0.37453183520599254,0.390625,0.039973351099267154,0.0,0.0,0.0
44,27,1.2,3.6,3.5,0.0,1.0,1.6,13,1,1,24,182,46500,13,0,2,23,133,3,390,57,1,0,1.4,0.7,0.2,0.001000010000100001,0.021958717610891524,0.001000010000100001,0.0,0.0,0.0
45,10,2.5,9.0,8.9,0.0,3.0,0.8,17,1,12,38,221,185600,14,1,13,16,134,3,390,73,1,0,7.4,2.1,0.4,0.001000010000100001,0.1044932079414838,0.019691499835904167,0.019830028328611898,0.006535947712418301,0.004761904761904762
46,14,3.8,6.4,6.3,0.0,2.5,0.8,11,1,22,7,259,125700,14,1,24,8,135,3,295,89,0,0,3.6,1.6,0.1,0.001000010000100001,0.03506311360448808,0.001000010000100001,0.0,0.0,0.0
47,26,1.0,5.2,5.1,0.0,2.2,1.6,15,0,6,21,95,105500,12,0,32,21,195,4,390,85,1,1,3.0,1.1,0.3,0.001000010000100001,0.08787346221441124,0.03943476832073611,0.0,0.0,0.0
48,30,2.3,2.5,2.4,0.0,1.1,0.8,19,0,17,35,133,45700,12,1,43,13,196,5,295,35,1,1,2.2,0.5,0.5,0.001000010000100001,0.08795074758135445,0.024057738572574174,0.0,0.006060606060606061,0.0
49,24,7.4,5.5,5.4,0.0,2.4,0.8,17,1,16,35,27,125100,16,1,35,7,13,5,295,61,1,0,4.5,0.6,0.4,0.3802281368821293,0.33783783783783783,0.6666666666666666,0.011111111111111112,0.06535947712418301,0.009523809523809525
50,15,4.6,4.3,4.2,0.0,2.0,1.6,20,0,0,4,163,104900,14,1,42,20,72,3,390,58,0,1,3.5,0.2,0.1,0.001000010000100001,0.0831946755407654,0.04567948229920061,0.0,0.0,0.0
51,15,11.2,5.5,5.4,0.0,0.5,1.6,20,0,47,32,143,144500,17,1,17,31,16,3,390,43,0,0,2.3,0.0,0.1,0.09285051067780874,0.05279831045406547,0.022818026240730174,0.0226628895184136,0.03875968992248062,0.004761904761904762
52,27,8.4,4.3,4.2,0.0,0.5,0.8,13,1,31,1,278,124300,15,0,24,43,75,4,295,39,1,1,1.8,0.0,0.3,0.0876424189307625,0.06031363088057902,0.001000010000100001,0.003703703703703704,0.0,0.0
53,21,13.5,7.3,7.2,0.0,0.8,0.8,11,0,30,1,173,4700,19,0,16,37,193,5,295,66,0,1,2.0,0.6,0.2,0.07587253414264036,0.13297872340425532,0.023483365949119372,0.018518518518518517,0.007751937984496124,0.0
54,22,6.9,8.5,8.4,0.0,1.8,1.6,11,0,26,29,152,44300,13,1,43,3,136,5,390,51,0,0,7.8,1.5,0.2,0.2617801047120419,0.2012072434607646,0.0911854103343465,0.0453257790368272,0.03875968992248062,0.02857142857142857
55,16,12.0,3.4,3.3,0.0,0.6,1.6,19,1,25,29,47,123700,17,1,35,42,253,3,295,78,0,1,2.6,0.3,0.1,0.016196954972465177,0.12315270935960593,0.03252914068853348,0.007407407407407408,0.0,0.0
56,20,13.3,8.8,8.7,0.0,2.1,0.8,13,1,35,43,85,63800,18,0,46,35,254,3,295,28,0,1,4.1,1.2,0.3,0.10649627263045792,0.18050541516245489,0.2312138728323699,0.011111111111111112,0.0,0.0
57,10,10.5,7.6,7.5,0.0,2.1,1.6,17,0,20,12,221,43700,15,0,2,2,14,4,390,90,1,0,3.6,0.8,0.5,0.6711409395973155,0.14430014430014432,0.040363269424823406,0.12181303116147309,0.08496732026143791,0.05714285714285714
58,15,11.8,4.9,4.8,0.0,1.5,0.8,11,0,30,26,259,182800,16,1,13,40,15,4,295,40,0,0,4.3,0.5,0.2,0.001000010000100001,0.06896551724137931,0.03026481715006305,0.007407407407407408,0.015503875968992248,0.0
59,26,9.1,3.7,3.6,0.0,1.2,1.6,14,1,14,40,95,162600,13,0,20,7,74,5,390,36,1,1,3.2,0.2,0.4,0.04623208506703653,0.15337423312883436,0.02056907781967775,0.0028328611898017,0.01818181818181818,0.007142857142857143
60,30,10.3,9.2,9.1,0.0,3.7,0.8,19,1,25,9,133,102700,13,1,32,45,75,3,295,52,1,1,5.8,0.7,0.1,0.001000010000100001,0.12224938875305624,0.04270462633451957,0.0,0.0,0.0
61,13,11.6,6.5,6.4,0.0,2.8,1.6,13,0,35,23,171,42900,14,1,43,38,76,3,390,68,0,1,6.3,0.4,0.3,0.001000010000100001,0.15772870662460567,0.06417112299465241,0.0028328611898017,0.0,0.0
62,28,3.6,9.5,9.4,0.0,4.0,0.8,11,1,34,23,66,122300,18,1,35,31,193,4,390,29,1,0,8.3,3.7,0.2,0.08210180623973727,0.29239766081871343,0.21660649819494585,0.019830028328611898,0.024242424242424242,0.0
63,12,4.8,6.8,6.7,0.0,3.2,1.6,15,1,44,37,104,62400,19,0,46,24,194,4,295,44,0,0,4.4,2.9,0.5,0.001000010000100001,0.16722408026755853,0.015535991714137753,0.003703703703703704,0.007751937984496124,0.0
64,20,7.3,9.5,9.4,0.0,0.6,1.6,14,1,14,20,181,141700,19,1,17,10,196,5,390,76,0,0,4.9,0.5,0.4,0.49019607843137253,0.2150537634408602,0.02575107296137339,0.019830028328611898,0.015503875968992248,0.01904761904761905
65,14,12.4,4.4,4.3,0.0,0.2,1.6,12,0,13,20,75,22100,14,1,9,4,14,5,295,37,0,0,1.5,0.1,0.3,0.32573289902280134,0.20876826722338204,0.05359535506922733,0.02962962962962963,0.28368794326241137,0.03333333333333333
66,25,9.7,3.2,3.1,0.0,0.2,0.8,15,1,48,34,211,1900,11,0,16,16,73,3,295,33,1,1,1.1,0.0,0.5,0.1692047377326565,0.08340283569641367,0.001000010000100001,0.014814814814814815,0.024242424242424242,0.0035714285714285713
67,30,11.0,8.6,8.5,0.0,1.1,1.6,19,1,8,3,249,141100,12,1,27,9,74,4,390,49,1,1,7.6,0.4,0.2,0.3472222222222222,0.14619883040935672,0.037890748342279755,0.042492917847025496,0.026143790849673203,0.014285714285714285
68,20,8.2,7.4,7.3,0.0,1.2,0.8,13,0,43,17,85,120900,19,1,35,21,134,4,295,45,1,1,6.4,0.3,0.4,0.001000010000100001,0.07418397626112759,0.014054813773717499,0.003703703703703704,0.0070921985815602835,0.0
69,11,5.5,6.2,6.1,0.0,1.2,0.8,16,1,27,31,221,100700,17,0,42,33,193,5,390,41,0,0,5.3,0.1,0.1,0.001000010000100001,0.08210180623973727,0.031136481577581733,0.0113314447592068,0.023255813953488372,0.0
70,15,6.7,3.5,3.4,0.0,0.8,1.6,20,1,38,45,259,40900,17,1,2,26,194,5,295,57,0,0,1.8,0.0,0.3,0.001000010000100001,0.03356831151393085,0.001000010000100001,0.003703703703703704,0.007751937984496124,0.0
71,27,4.0,2.3,2.2,0.0,0.6,0.8,14,0,22,14,94,20700,15,0,9,38,254,3,390,54,1,1,1.2,0.5,0.5,0.017553098121818503,0.09852216748768472,0.014607425441265975,0.0028328611898017,0.0,0.0
72,14,6.5,5.1,5.0,0.0,1.9,0.8,12,1,43,42,171,99900,15,1,32,24,256,4,295,85,0,1,3.5,1.6,0.4,0.001000010000100001,0.05934718100890207,0.001000010000100001,0.003703703703703704,0.0,0.0
73,18,7.8,2.4,2.3,0.0,1.0,1.6,17,1,2,11,210,40100,16,0,43,17,257,4,390,35,0,1,1.0,0.8,0.1,0.001000010000100001,0.019462826002335537,0.001000010000100001,0.0,0.0,0.0
74,22,9.9,5.7,5.6,0.0,0.4,0.8,20,0,42,21,152,158400,16,1,20,21,195,4,390,86,1,0,5.6,0.1,0.3,0.1447178002894356,0.2293577981651376,0.08016032064128256,0.0339943342776204,0.0457516339869281,0.02857142857142857
75,10,12.4,8.4,8.3,0.0,1.3,0.8,18,1,11,4,229,38700,16,0,43,6,197,5,390,51,0,0,2.1,0.2,0.3,0.1488095238095238,0.11534025374855825,0.001000010000100001,0.0,0.0,0.0
76,25,4.4,3.3,3.2,0.0,0.4,0.8,16,1,10,4,123,118100,11,0,35,45,15,3,390,78,1,1,3.1,0.3,0.2,0.11961722488038279,0.11299435028248588,0.024711696869851727,0.0113314447592068,0.006535947712418301,0.0
77,15,1.7,2.1,2.0,0.0,0.3,1.6,20,0,46,18,259,97900,18,1,42,12,74,3,295,75,0,0,1.9,0.2,0.3,0.015762925598991173,0.039525691699604744,0.015727391874180863,0.007407407407407408,0.007751937984496124,0.014285714285714285
78,23,4.2,4.8,4.7,0.0,1.3,1.6,18,1,15,1,36,177200,19,0,13,43,76,4,390,40,1,0,1.5,0.9,0.3,0.24038461538461536,0.5649717514124294,0.07712082262210797,0.0,0.0,0.0
79,14,1.4,3.6,3.5,0.0,1.1,1.6,12,0,0,15,171,157000,17,1,20,10,136,5,295,36,0,1,1.2,0.6,0.5,0.001000010000100001,0.05194805194805195,0.001000010000100001,0.0,0.0,0.0
80,26,11.8,2.5,2.4,0.0,0.8,0.8,15,0,35,29,7,136900,14,0,27,22,195,3,390,33,1,1,0.8,0.3,0.1,0.021427040925648167,0.17271157167530224,0.1643835616438356,0.0,0.0,0.0
81,30,13.1,7.9,7.8,0.0,3.0,1.6,19,1,45,43,45,77000,15,0,39,15,196,3,295,49,0,1,5.8,1.2,0.4,0.14245014245014245,0.26595744680851063,0.11799410029498525,0.003703703703703704,0.0,0.0
82,20,10.3,6.7,6.6,0.0,2.8,0.8,13,1,30,12,181,56800,12,1,46,27,256,4,390,45,1,0,5.0,0.7,0.5,0.00753012048192771,0.15673981191222572,0.020103869994974034,0.0,0.0,0.0
83,11,7.6,5.5,5.4,0.0,2.5,1.6,16,0,14,26,16,36700,20,0,2,40,16,4,295,41,0,1,4.1,0.3,0.2,0.15337423312883436,0.3952569169960475,0.8108108108108107,0.037037037037037035,0.0,0.0
84,15,8.8,2.8,2.7,0.0,0.0,0.8,20,0,24,40,55,175800,20,0,13,32,17,5,390,57,0,1,0.3,0.0,0.4,0.14492753623188406,0.21052631578947367,0.001000010000100001,0.0,0.015503875968992248,0.0
85,13,2.1,3.1,3.0,0.0,0.1,0.8,13,0,34,9,288,195300,15,1,16,19,135,3,295,34,0,1,1.6,0.0,0.1,0.02874389192296637,0.029325513196480937,0.015710919088766692,0.003703703703703704,0.0,0.0
86,17,3.3,8.5,8.4,0.0,0.7,1.6,17,0,44,23,26,135500,15,0,27,12,136,3,390,49,1,0,1.3,0.5,0.3,0.14598540145985403,0.07087172218284904,0.019749835418038184,0.0028328611898017,0.0,0.0
87,29,13.7,7.3,7.2,0.0,0.8,0.8,20,1,29,37,162,115300,13,1,35,24,195,4,295,46,0,1,1.2,0.5,0.5,0.14992503748125938,0.18248175182481752,0.001000010000100001,0.0,0.0,0.0
88,12,1.9,4.6,4.5,0.0,0.7,1.6,15,1,39,6,200,55400,13,1,46,17,196,4,295,61,0,1,3.1,0.4,0.2,0.014005602240896357,0.0929368029739777,0.022313127556712532,0.011111111111111112,0.015503875968992248,0.007142857142857143
89,24,12.2,3.4,3.3,0.0,0.6,0.8,18,0,23,20,35,35300,11,0,2,29,256,5,390,58,1,0,2.3,0.2,0.4,0.06024096385542168,0.4608294930875576,0.1188118811881188,0.0028328611898017,0.006535947712418301,0.0
90,28,13.5,8.8,8.7,0.0,2.1,1.6,12,0,34,34,74,174400,11,1,13,22,257,5,295,73,0,0,3.2,0.9,0.1,0.001000010000100001,0.09233610341643582,0.045283018867924525,0.0,0.0,0.0
91,19,10.7,7.6,7.5,0.0,2.1,0.8,15,1,18,3,209,154200,18,1,20,34,16,3,390,70,1,1,2.9,0.5,0.3,0.18450184501845018,0.12254901960784313,0.04034969737726967,0.053824362606232294,0.006535947712418301,0.0
92,23,12.0,5.0,4.9,0.0,1.5,1.6,20,1,28,17,248,94300,19,0,32,27,17,3,295,85,1,1,4.0,0.3,0.5,0.4484304932735426,0.16863406408094436,0.04246284501061571,0.11851851851851852,0.0392156862745098,0.017857142857142856
93,13,9.2,3.8,3.7,0.0,1.3,1.6,13,0,13,31,83,74200,16,1,39,39,77,4,390,82,0,1,3.0,0.1,0.2,0.00390823465040841,0.14992503748125938,0.06936416184971098,0.0028328611898017,0.0,0.0035714285714285713
94,25,6.5,2.6,2.5,0.0,0.9,0.8,16,1,48,45,219,54000,14,1,46,7,137,5,295,78,0,0,2.0,0.8,0.3,0.001000010000100001,0.036010082823190494,0.001000010000100001,0.003703703703703704,0.007751937984496124,0.004761904761904762
95,29,7.8,8.0,7.9,0.0,3.5,1.6,11,1,7,14,257,193100,14,0,6,44,138,5,295,28,0,0,4.5,3.2,0.1,0.001000010000100001,0.034855350296270474,0.001000010000100001,0.0,0.014184397163120567,0.004761904761904762
96,12,9.0,5.3,5.2,0.0,2.5,0.8,15,1,18,28,296,133300,15,1,17,37,139,3,390,44,0,0,4.7,2.2,0.3,0.001000010000100001,0.061842918985776124,0.001000010000100001,0.0056657223796034,0.007751937984496124,0.0
97,18,11.4,7.1,7.0,2.4,0.0,1.6,16,1,1,42,26,192500,17,0,16,43,15,4,295,67,1,1,5.3,0.0,0.4,0.062150403977625855,0.30959752321981426,0.06511123168746609,0.05555555555555555,0.007751937984496124,0.0035714285714285713
98,19,4.8,8.3,8.2,0.0,0.9,1.6,16,1,48,25,5,33100,20,1,43,9,259,4,295,52,1,0,3.3,0.4,0.4,0.1801801801801802,0.32679738562091504,0.8163265306122449,0.05555555555555555,0.015503875968992248,0.004761904761904762
99,30,2.0,7.1,7.0,0.0,1.0,1.6,19,0,32,39,141,12900,18,0,50,22,18,5,390,48,0,0,2.9,0.4,0.5,0.17857142857142858,0.12285012285012284,0.08119079837618404,0.16997167138810199,1.7984496124031009,0.37142857142857144
100,24,7.2,2.0,1.9,0.1,0.0,1.6,17,1,31,39,35,92300,12,0,42,16,136,3,390,75,0,0,0.3,0.0,0.4,0.050226017076845805,0.23752969121140144,0.001000010000100001,0.0,0.0,0.0
101,25,13.7,3.3,3.2,0.0,0.7,1.6,17,1,27,22,15,131900,15,1,17,27,79,3,390,60,0,1,2.9,0.1,0.4,0.036845983787767135,0.1,0.02192581765028321,0.0056657223796034,0.006535947712418301,0.007142857142857143
102,16,10.9,2.1,2.0,0.0,0.5,0.8,20,0,11,36,151,111700,13,0,24,39,139,4,295,56,1,0,1.8,0.0,0.1,0.001000010000100001,0.030721966205837177,0.017111079423926992,0.003703703703703704,0.0,0.0
103,27,8.2,9.0,8.9,0.0,2.6,1.6,14,0,46,5,286,91500,11,1,32,6,198,5,295,53,0,1,7.8,2.4,0.3,0.01723543605653223,0.1524390243902439,0.05873715124816446,0.037037037037037035,0.06201550387596899,0.025
104,18,5.4,7.8,7.7,0.0,2.5,0.8,17,1,31,18,122,71400,18,1,39,18,258,5,390,49,1,1,6.7,1.9,0.5,0.35211267605633806,0.3717472118959108,0.04194337644180356,0.0169971671388102,0.032679738562091505,0.0035714285714285713
105,22,6.7,5.1,5.0,0.0,1.9,1.6,11,0,41,32,160,11500,18,0,50,11,259,3,295,65,1,1,3.0,1.4,0.2,0.001000010000100001,0.05824111822947,0.019166267369429803,0.014814814814814815,0.006535947712418301,0.0035714285714285713
106,13,4.0,3.9,3.8,0.0,1.6,1.6,14,0,25,1,296,190300,16,1,6,23,18,4,390,61,1,0,2.4,0.9,0.4,0.001000010000100001,0.05027652086475616,0.016710764517476672,0.0084985835694051,0.006535947712418301,0.0
107,24,1.2,2.7,2.6,0.0,1.1,0.8,18,1,10,15,131,170200,14,1,13,36,78,4,295,57,0,1,1.6,0.4,0.5,0.001000010000100001,0.04397537379067722,0.001000010000100001,0.0,0.0,0.0
108,15,11.6,9.6,9.5,0.0,4.7,1.6,11,0,45,29,267,150000,11,0,20,3,138,5,390,53,1,0,6.2,1.4,0.2,0.001000010000100001,0.06640106241699867,0.030864197530864196,0.0,0.0,0.0
109,26,8.8,8.4,8.3,0.0,0.2,0.8,14,0,30,43,102,129900,19,1,27,15,197,3,295,50,0,0,2.6,0.0,0.4,0.38910505836575876,0.18975332068311196,0.14234875444839856,0.007407407407407408,0.0,0.0
110,17,6.1,7.2,7.1,2.4,0.0,1.6,18,1,14,12,238,109700,16,0,35,27,257,4,390,46,1,1,3.7,0.0,0.1,0.06968641114982578,0.06821282401091405,0.01820388349514563,0.0169971671388102,0.026143790849673203,0.0035714285714285713
